bw	num	pct	qlen	maxq	avgq	maxd	avgd	rate
6	10	0.87	4	19.0	0.1	24	0	478.8 (0.62)
6	12	0.87	4	23.0	0.1	29	0	493.3 (0.64)
6	14	0.87	4	27.0	0.1	35	0	507.4 (0.66)
6	16	0.87	4	31.0	0.1	40	0	521.3 (0.68)
6	20	0.87	4	38.5	0.1	50	0	538.1 (0.70)
6	24	0.87	4	46.5	0.1	60	0	544.7 (0.71)
6	30	0.87	4	56.5	0.2	73	0	567.2 (0.74)
6	40	0.87	4	72.0	0.3	93	0	587.8 (0.77)
8	1	0.89	4	12.5	0.0	12	0	455.9 (0.45)
8	2	0.89	4	12.5	0.1	12	0	558.4 (0.55)
8	3	0.89	4	14.5	0.1	14	0	612.3 (0.60)
8	4	0.89	4	14.0	0.1	13	0	574.6 (0.56)
8	5	0.89	4	14.5	0.1	14	0	591.6 (0.58)
8	6	0.89	4	17.0	0.1	16	0	601.3 (0.59)
8	8	0.89	4	19.5	0.1	19	0	611.3 (0.60)
8	10	0.89	4	19.0	0.2	18	0	612.1 (0.60)
8	12	0.89	4	24.0	0.2	23	0	665.1 (0.65)
8	14	0.89	4	27.0	0.2	26	0	674.9 (0.66)
8	16	0.89	4	31.0	0.2	30	0	672.1 (0.66)
8	20	0.89	4	38.5	0.2	37	0	705.1 (0.69)
8	24	0.89	4	46.5	0.2	45	0	707.3 (0.69)
8	30	0.89	4	56.5	0.3	55	0	731.6 (0.71)
8	40	0.89	4	74.0	0.3	72	0	775.3 (0.76)
10	1	0.90	4	13.5	0.0	10	0	504.9 (0.39)
10	2	0.90	4	13.5	0.1	10	0	667.1 (0.52)
10	3	0.90	4	18.0	0.2	14	0	734.0 (0.57)
10	4	0.90	4	14.0	0.2	10	0	621.8 (0.49)
10	5	0.90	4	16.0	0.2	12	0	754.8 (0.59)
10	6	0.90	4	17.0	0.2	13	0	674.2 (0.53)
10	8	0.90	4	24.5	0.2	19	0	714.2 (0.56)
10	10	0.90	4	26.0	0.2	20	0	777.0 (0.61)
10	12	0.90	4	30.0	0.2	23	0	764.8 (0.60)
10	14	0.90	4	31.0	0.2	24	0	796.4 (0.62)
10	16	0.90	4	31.0	0.2	24	0	800.4 (0.63)
10	20	0.90	4	39.0	0.2	30	0	864.8 (0.68)
10	24	0.90	4	46.5	0.3	36	0	880.9 (0.69)
10	30	0.90	4	58.5	0.3	45	0	878.4 (0.69)
10	40	0.90	4	76.0	0.4	59	0	928.9 (0.73)
12	1	0.90	4	13.5	0.0	8	0	505.7 (0.33)
12	2	0.90	4	13.5	0.1	8	0	779.2 (0.51)
12	3	0.90	4	18.0	0.2	11	0	821.6 (0.53)
12	4	0.90	4	14.0	0.1	9	0	595.6 (0.39)
12	5	0.90	4	16.0	0.1	10	0	807.0 (0.53)
12	6	0.90	4	17.0	0.1	11	0	785.9 (0.51)
12	8	0.90	4	22.0	0.2	14	0	878.9 (0.57)
12	10	0.90	4	24.5	0.2	15	0	800.8 (0.52)
12	12	0.90	4	28.5	0.2	18	0	883.8 (0.58)
12	14	0.90	4	33.0	0.2	21	0	987.8 (0.64)
12	16	0.90	4	32.0	0.2	20	0	925.2 (0.60)
12	20	0.90	4	39.0	0.3	25	0	956.4 (0.62)
12	24	0.90	4	46.5	0.3	30	0	1016.2 (0.66)
12	30	0.90	4	58.5	0.2	38	0	1044.7 (0.68)
12	40	0.90	4	76.0	0.3	49	0	1107.7 (0.72)
14	1	0.91	4	15.5	0.0	8	0	521.8 (0.29)
14	2	0.91	4	16.5	0.0	9	0	842.4 (0.47)
14	3	0.91	4	19.5	0.1	10	0	905.8 (0.51)
14	4	0.91	4	20.5	0.2	11	0	766.1 (0.43)
14	5	0.91	4	17.5	0.2	9	0	737.0 (0.41)
14	6	0.91	4	20.5	0.1	11	0	836.4 (0.47)
14	8	0.91	4	23.5	0.1	13	0	904.8 (0.50)
14	10	0.91	4	24.5	0.1	13	0	921.4 (0.51)
14	12	0.91	4	27.0	0.1	15	0	948.4 (0.53)
14	14	0.91	4	31.5	0.2	17	0	955.9 (0.53)
14	16	0.91	4	31.0	0.1	17	0	970.6 (0.54)
14	20	0.91	4	39.0	0.2	21	0	1018.4 (0.57)
14	24	0.91	4	46.5	0.2	25	0	1047.2 (0.58)
14	30	0.91	4	58.5	0.2	32	0	1118.5 (0.62)
14	40	0.91	4	76.0	0.3	42	0	1192.5 (0.67)
16	1	0.91	6	25.5	0.0	12	0	535.4 (0.26)
16	2	0.91	6	25.5	0.0	12	0	940.7 (0.46)
16	3	0.91	6	26.5	0.1	12	0	1096.6 (0.54)
16	4	0.91	6	27.0	0.3	13	0	1162.5 (0.57)
16	5	0.91	6	28.5	0.3	13	0	1188.1 (0.58)
16	6	0.91	6	30.5	0.3	14	0	1170.2 (0.57)
16	8	0.91	6	33.0	0.3	16	0	1211.2 (0.59)
16	10	0.91	6	33.5	0.3	16	0	1253.9 (0.61)
16	12	0.91	6	37.5	0.3	18	0	1166.0 (0.57)
16	14	0.91	6	42.5	0.3	20	0	1212.0 (0.59)
16	16	0.91	6	41.5	0.3	20	0	1252.2 (0.61)
16	20	0.91	6	42.0	0.4	20	0	1275.1 (0.62)
16	24	0.91	6	46.5	0.4	22	0	1341.2 (0.65)
16	30	0.91	6	58.5	0.4	28	0	1397.6 (0.68)
16	40	0.91	6	78.0	0.4	38	0	1423.2 (0.69)
20	1	0.92	6	29.0	0.0	11	0	539.2 (0.21)
20	2	0.92	6	29.0	0.0	11	0	1042.0 (0.41)
20	3	0.92	6	34.0	0.0	13	0	1259.0 (0.49)
20	4	0.92	6	29.0	0.2	11	0	1381.3 (0.54)
20	5	0.92	6	34.5	0.3	13	0	1585.0 (0.62)
20	6	0.92	6	35.0	0.4	13	0	1419.5 (0.55)
20	8	0.92	6	38.0	0.4	14	0	1449.6 (0.57)
20	10	0.92	6	38.0	0.4	14	0	1436.1 (0.56)
20	12	0.92	6	39.5	0.4	15	0	1535.0 (0.60)
20	14	0.92	6	43.0	0.4	16	0	1546.0 (0.60)
20	16	0.92	6	44.5	0.4	17	0	1585.9 (0.62)
20	20	0.92	6	46.0	0.4	17	0	1581.4 (0.62)
20	24	0.92	6	55.0	0.4	21	0	1613.8 (0.63)
20	30	0.92	6	58.5	0.4	22	0	1765.0 (0.69)
20	40	0.92	6	78.0	0.5	30	0	1816.8 (0.71)
24	1	0.92	6	29.0	0.0	9	0	537.3 (0.17)
24	2	0.92	6	29.0	0.0	9	0	1044.2 (0.34)
24	3	0.92	6	34.0	0.0	11	0	1450.2 (0.47)
24	4	0.92	6	29.0	0.1	9	0	1645.5 (0.54)
24	5	0.92	6	34.5	0.2	11	0	1743.9 (0.57)
24	6	0.92	6	35.0	0.3	11	0	1863.8 (0.61)
24	8	0.92	6	38.0	0.4	12	0	1752.6 (0.57)
24	10	0.92	6	38.0	0.4	12	0	1794.7 (0.58)
24	12	0.92	6	39.5	0.4	12	0	1731.9 (0.56)
24	14	0.92	6	43.0	0.4	13	0	1638.4 (0.53)
24	16	0.92	6	44.5	0.4	14	0	1761.7 (0.57)
24	20	0.92	6	46.0	0.4	14	0	1756.0 (0.57)
24	24	0.92	6	55.0	0.4	17	0	1961.7 (0.64)
24	30	0.92	6	58.5	0.4	19	0	2050.4 (0.67)
24	40	0.92	6	78.0	0.5	25	0	2062.3 (0.67)
30	1	0.93	8	47.0	0.0	12	0	588.3 (0.15)
30	2	0.93	8	47.0	0.0	12	0	1075.3 (0.28)
30	3	0.93	8	47.0	0.0	12	0	1582.2 (0.41)
30	4	0.93	8	54.5	0.0	14	0	1868.7 (0.49)
30	5	0.93	8	54.5	0.1	14	0	2019.8 (0.53)
30	6	0.93	8	55.0	0.2	14	0	2075.2 (0.54)
30	8	0.93	8	57.0	0.6	14	0	2312.0 (0.60)
30	10	0.93	8	60.5	0.6	15	0	2410.0 (0.63)
30	12	0.93	8	66.0	0.6	17	0	2375.3 (0.62)
30	14	0.93	8	66.0	0.6	17	0	2435.6 (0.63)
30	16	0.93	8	64.0	0.6	16	0	2475.0 (0.64)
30	20	0.93	8	64.0	0.6	16	0	2417.8 (0.63)
30	24	0.93	8	70.5	0.6	18	0	2505.3 (0.65)
