bw	ftp	rftp	web	qlen	maxd	avgd	rate
--------------------------------------------------------------------
66	62	3	66	1000	180	22	8061 (0.98)
23	64	1	66	1000	496	32	2818 (0.98)
14	35	4	54	1000	607	29	1656 (0.95)
99	57	2	44	1000	120	19	12213 (0.99)
8	55	1	53	1000	814	40	970 (0.97)
11	24	1	65	1000	654	33	1305 (0.95)
65	46	1	7	1000	184	17	8040 (0.99)
21	25	0	34	1000	547	24	2623 (1.00)
10	48	2	14	1000	687	32	1199 (0.96)
31	5	0	20	1000	293	8	3847 (0.99)
26	20	2	33	1000	425	24	2992 (0.92)
87	29	3	11	1000	135	17	10302 (0.95)
97	4	3	56	1000	119	15	11452 (0.94)
58	45	4	77	1000	200	19	7097 (0.98)
12	62	0	75	1000	703	35	1499 (1.00)
67	47	0	26	1000	178	16	8373 (1.00)
45	43	4	56	1000	254	21	5470 (0.97)
16	9	3	39	1000	451	21	1781 (0.89)
69	57	2	69	1000	171	19	8482 (0.98)
77	58	0	55	1000	155	16	9624 (1.00)
87	14	4	52	1000	115	11	10173 (0.94)
91	36	3	76	1000	131	18	10912 (0.96)
11	5	0	55	1000	312	14	1345 (0.98)
88	49	2	0	1000	136	18	10796 (0.98)
67	7	2	14	1000	150	13	7639 (0.91)
19	24	3	33	1000	562	24	2217 (0.93)
99	25	3	16	1000	120	13	11652 (0.94)
85	11	1	79	1000	140	12	10089 (0.95)
17	20	2	76	1000	544	29	1997 (0.94)
40	42	3	69	1000	285	20	4875 (0.97)
56	40	4	44	1000	208	17	6807 (0.97)
13	61	4	6	1000	653	30	1556 (0.96)
17	22	2	4	1000	549	28	1913 (0.90)
86	1	1	32	1000	130	12	10276 (0.96)
23	12	2	21	1000	358	18	2648 (0.92)
63	6	0	10	1000	190	6	7848 (1.00)
51	15	0	55	1000	231	11	6373 (1.00)
45	40	0	75	1000	262	18	5622 (1.00)
6	61	2	67	1000	1053	54	734 (0.98)
44	48	1	68	1000	266	17	5439 (0.99)
91	50	1	68	1000	131	16	11296 (0.99)
22	10	0	76	1000	493	19	2729 (0.99)
22	47	4	63	1000	496	29	2649 (0.96)
