bw	ftp	rftp	web	qlen	maxd	avgd	rate
--------------------------------------------------------------------
92	19	4	29	226	29	14	10068 (0.88)
8	12	2	7	226	327	138	984 (0.98)
61	24	4	20	226	44	17	7136 (0.94)
13	49	2	22	226	207	107	1624 (1.00)
85	15	3	31	226	32	15	9524 (0.90)
76	14	2	35	226	36	16	8617 (0.91)
46	41	4	4	226	59	29	5482 (0.95)
77	5	3	30	226	35	11	7185 (0.75)
98	39	3	14	226	28	14	11655 (0.95)
30	43	2	44	226	89	44	3740 (1.00)
84	2	3	52	226	32	8	7034 (0.67)
95	44	1	75	226	28	15	11756 (0.99)
63	46	2	10	226	43	21	7812 (0.99)
29	62	3	20	226	93	44	3605 (0.99)
83	4	4	73	226	33	13	7938 (0.77)
66	54	0	74	226	41	34	8238 (1.00)
69	56	3	27	226	39	21	8490 (0.98)
84	29	1	36	226	32	17	10423 (0.99)
22	24	1	22	226	121	65	2737 (1.00)
45	61	4	2	226	60	29	5492 (0.98)
50	24	3	29	226	54	23	5968 (0.95)
64	6	4	34	226	42	16	6280 (0.79)
93	32	1	19	226	29	15	11530 (0.99)
19	37	0	39	226	141	126	2373 (1.00)
15	45	3	39	226	177	84	1869 (1.00)
88	14	0	25	226	31	18	10921 (0.99)
13	59	2	61	226	207	105	1624 (1.00)
7	39	3	49	226	361	189	874 (1.00)
7	25	1	35	226	364	204	874 (1.00)
80	45	0	20	226	34	22	9969 (1.00)
47	22	0	12	226	57	42	5857 (1.00)
36	30	2	64	226	74	33	4447 (0.99)
40	38	3	61	226	67	29	4861 (0.97)
5	19	3	26	226	516	236	624 (1.00)
95	47	3	12	226	28	15	11585 (0.98)
79	4	4	14	226	34	13	6934 (0.70)
44	7	0	62	226	61	43	5474 (1.00)
14	41	2	25	226	191	97	1746 (1.00)
95	61	4	6	226	28	16	11542 (0.97)
1	53	1	73	226	2571	1180	125 (1.00)
24	46	1	55	226	111	58	2993 (1.00)
100	43	2	76	226	27	14	12200 (0.98)
30	12	0	64	226	89	68	3740 (1.00)
75	37	3	68	226	36	18	9119 (0.97)
99	49	2	21	226	27	15	12196 (0.99)
33	5	0	10	226	82	59	4103 (0.99)
96	55	4	38	226	28	15	11548 (0.96)
16	14	0	59	226	166	131	1998 (1.00)
84	8	4	43	226	32	13	8664 (0.83)
45	14	4	13	226	60	24	4892 (0.87)
74	40	1	67	226	36	18	9204 (1.00)
53	61	2	69	226	51	28	6540 (0.99)
51	8	4	58	226	53	19	5204 (0.82)
54	17	1	68	226	49	20	6609 (0.98)
89	46	1	22	226	30	17	11065 (0.99)
12	57	0	31	226	224	201	1499 (1.00)
36	55	2	16	226	75	38	4467 (0.99)
28	25	0	36	226	96	82	3495 (1.00)
99	59	2	68	226	27	14	12193 (0.99)
68	34	2	79	226	40	18	8330 (0.98)
13	25	0	30	226	204	177	1624 (1.00)
48	25	4	31	226	56	26	5687 (0.95)
84	45	4	65	226	32	15	10095 (0.96)
54	61	3	3	226	50	24	6579 (0.97)
24	50	3	58	226	111	54	2990 (1.00)
82	32	0	32	226	33	22	10213 (1.00)
35	3	1	66	226	75	17	3593 (0.82)
7	33	2	42	226	363	187	874 (1.00)
1	35	1	54	226	2366	1214	125 (1.00)
48	10	1	75	226	56	18	5549 (0.92)
71	16	2	55	226	38	14	8197 (0.92)
39	43	1	30	226	69	36	4853 (1.00)
77	26	4	56	226	35	16	8985 (0.93)
25	23	3	34	226	107	49	3100 (0.99)
38	11	0	60	226	71	56	4733 (1.00)
17	47	1	15	226	158	84	2122 (1.00)
22	11	2	39	226	119	40	2642 (0.96)
99	38	0	31	226	27	17	12310 (0.99)
97	25	0	25	226	28	16	12038 (0.99)
88	14	1	24	226	31	12	10532 (0.96)
57	2	4	66	226	47	13	4307 (0.60)
19	58	4	14	226	142	70	2365 (1.00)
94	54	4	48	226	29	14	11334 (0.96)
51	9	0	65	226	53	38	6345 (1.00)
19	50	0	36	226	141	129	2373 (1.00)
56	47	2	51	226	48	25	6937 (0.99)
41	35	1	11	226	66	34	5103 (1.00)
67	5	3	33	226	40	15	6638 (0.79)
19	31	1	22	226	141	74	2365 (1.00)
70	26	1	50	226	38	18	8676 (0.99)
18	26	0	31	226	149	129	2248 (1.00)
36	32	0	7	226	75	56	4492 (1.00)
15	59	4	38	226	179	88	1874 (1.00)
37	50	3	6	226	73	32	4550 (0.98)
88	46	2	59	226	31	15	10892 (0.99)
56	62	0	21	226	48	38	6993 (1.00)
82	33	4	1	226	33	17	9519 (0.93)
73	19	2	74	226	37	15	8688 (0.95)
83	27	3	67	226	33	16	9858 (0.95)
80	55	1	80	226	34	18	9936 (0.99)
84	13	1	30	226	32	12	9948 (0.95)
89	35	1	57	226	30	16	11057 (0.99)
39	1	3	52	226	68	12	2971 (0.61)
70	23	2	66	226	38	17	8478 (0.97)
86	12	2	40	226	31	11	9609 (0.89)
17	57	2	31	226	159	83	2119 (1.00)
79	46	3	10	226	34	18	9714 (0.98)
24	41	2	71	226	111	57	2992 (1.00)
38	19	0	65	226	71	58	4739 (1.00)
74	56	0	22	226	36	25	9233 (1.00)
52	34	3	45	226	52	25	6341 (0.98)
58	56	0	6	226	47	34	7240 (1.00)
6	2	4	42	226	341	74	639 (0.85)
40	8	2	80	226	67	21	4337 (0.87)
82	7	2	24	226	33	11	8869 (0.87)
2	49	3	0	226	1295	802	250 (1.00)
29	44	4	46	226	93	41	3590 (0.99)
62	5	2	58	226	43	13	6382 (0.82)
25	32	4	31	226	108	48	3098 (0.99)
7	16	4	29	226	369	154	872 (1.00)
