bw	ftp	rftp	web	qlen	maxd	avgd	rate
--------------------------------------------------------------------
76	60	2	30	-	50	4	7022 (0.74)
68	14	2	71	-	50	1	4274 (0.50)
88	3	2	11	-	50	0	2228 (0.20)
50	9	2	15	-	50	0	2989 (0.48)
33	45	1	52	-	50	5	3418 (0.83)
32	19	2	41	-	50	2	2683 (0.67)
16	3	2	60	-	50	2	813 (0.41)
59	1	4	77	-	50	0	923 (0.13)
100	61	0	24	-	50	2	10228 (0.82)
12	12	0	5	-	50	3	1175 (0.78)
47	57	2	21	-	50	4	4448 (0.76)
43	5	2	78	-	50	1	1910 (0.36)
4	34	0	29	-	50	14	459 (0.92)
44	60	4	5	-	50	4	4096 (0.74)
10	3	0	41	-	50	2	633 (0.51)
20	42	3	36	-	50	6	1880 (0.75)
78	24	0	33	-	50	1	6511 (0.67)
8	3	3	69	-	50	7	602 (0.60)
52	59	2	28	-	50	5	4977 (0.77)
21	18	2	25	-	50	4	1846 (0.70)
40	56	4	48	-	50	5	3672 (0.73)
54	8	4	29	-	50	0	2925 (0.43)
59	32	2	42	-	50	3	5059 (0.69)
20	40	2	13	-	50	4	1890 (0.76)
82	60	4	33	-	50	4	7409 (0.72)
37	35	0	2	-	50	3	3782 (0.82)
12	63	1	64	-	50	9	1334 (0.89)
55	33	3	24	-	50	3	4814 (0.70)
64	49	4	2	-	50	4	5823 (0.73)
21	56	2	58	-	50	9	2091 (0.80)
86	1	1	35	-	50	0	792 (0.07)
98	59	3	69	-	50	3	8781 (0.72)
9	29	3	44	-	50	12	890 (0.79)
19	7	3	15	-	50	1	1207 (0.51)
83	16	0	7	-	50	1	5451 (0.53)
34	18	0	63	-	50	3	2938 (0.69)
42	39	2	76	-	50	4	3795 (0.72)
87	16	0	19	-	50	1	5495 (0.51)
59	48	1	35	-	50	3	6043 (0.82)
25	6	3	77	-	50	3	1577 (0.50)
73	3	4	42	-	50	0	2004 (0.22)
91	24	0	50	-	50	1	7216 (0.63)
32	35	0	10	-	50	3	3387 (0.85)
9	44	4	21	-	50	13	920 (0.82)
59	44	2	23	-	50	4	5311 (0.72)
1	19	3	50	-	50	31	123 (0.98)
28	61	4	34	-	50	6	2566 (0.73)
8	8	1	46	-	50	8	685 (0.68)
79	13	4	59	-	50	1	4491 (0.45)
32	48	4	44	-	50	7	3001 (0.75)
95	54	2	18	-	50	2	8546 (0.72)
69	21	3	65	-	50	1	5243 (0.61)
34	53	3	30	-	50	5	3242 (0.76)
23	39	2	10	-	50	4	2180 (0.76)
4	52	1	20	-	50	17	461 (0.92)
55	64	4	14	-	50	4	5078 (0.74)
47	43	0	50	-	50	3	4826 (0.82)
28	57	2	31	-	50	5	2739 (0.78)
43	33	2	42	-	50	3	3863 (0.72)
11	35	2	53	-	50	11	1115 (0.81)
90	21	0	33	-	50	1	6703 (0.60)
6	51	0	77	-	50	16	718 (0.96)
13	37	0	64	-	50	9	1412 (0.87)
13	35	0	38	-	50	7	1398 (0.86)
44	19	4	5	-	50	2	3456 (0.63)
55	43	3	28	-	50	3	4966 (0.72)
80	52	1	42	-	50	4	8021 (0.80)
12	12	0	17	-	50	3	1161 (0.77)
3	47	4	43	-	50	20	351 (0.94)
49	11	1	65	-	50	1	3285 (0.54)
14	4	3	0	-	50	1	735 (0.42)
43	42	4	31	-	50	4	3886 (0.72)
73	52	3	5	-	50	3	6686 (0.73)
51	46	1	74	-	50	5	5115 (0.80)
55	36	3	27	-	50	3	4827 (0.70)
98	28	1	69	-	50	2	7980 (0.65)
6	60	4	70	-	50	20	701 (0.93)
59	63	3	10	-	50	4	5495 (0.75)
45	1	3	22	-	50	0	567 (0.10)
24	33	1	50	-	50	6	2414 (0.80)
47	53	1	78	-	50	6	4892 (0.83)
29	25	3	3	-	50	3	2572 (0.71)
63	40	4	80	-	50	4	5598 (0.71)
52	28	0	5	-	50	2	4917 (0.76)
61	6	3	6	-	50	0	2442 (0.32)
85	23	4	74	-	50	2	6291 (0.59)
76	31	3	68	-	50	2	6308 (0.66)
42	60	4	53	-	50	7	3978 (0.76)
88	29	2	64	-	50	2	7055 (0.64)
31	16	0	38	-	50	2	2777 (0.72)
70	21	0	19	-	50	1	5687 (0.65)
62	28	4	30	-	50	2	5080 (0.66)
60	16	3	26	-	50	1	4296 (0.57)
99	60	3	34	-	50	4	8857 (0.72)
38	42	0	0	-	50	5	4020 (0.85)
20	61	3	43	-	50	7	1962 (0.78)
51	57	4	43	-	50	4	4765 (0.75)
63	45	0	19	-	50	3	6612 (0.84)
31	18	3	63	-	50	4	2542 (0.66)
2	49	4	38	-	50	25	239 (0.95)
89	37	2	53	-	50	2	7572 (0.68)
77	21	1	76	-	50	1	5923 (0.62)
6	17	1	31	-	50	10	579 (0.77)
31	12	3	24	-	50	1	2234 (0.58)
28	25	1	48	-	50	4	2587 (0.74)
87	21	2	22	-	50	1	6226 (0.57)
49	49	1	28	-	50	4	5000 (0.82)
26	59	3	6	-	50	6	2440 (0.75)
97	28	4	54	-	50	1	7445 (0.61)
78	25	2	14	-	50	1	6153 (0.63)
10	31	1	32	-	50	6	984 (0.79)
78	23	0	65	-	50	1	6413 (0.66)
30	62	0	66	-	50	7	3307 (0.88)
21	5	1	33	-	50	2	1243 (0.47)
16	5	0	7	-	50	1	1138 (0.57)
29	2	3	76	-	50	1	1155 (0.32)
8	23	3	14	-	50	8	725 (0.73)
13	46	4	52	-	50	8	1251 (0.77)
64	62	1	17	-	50	4	6546 (0.82)
8	46	1	61	-	50	12	901 (0.90)
