bw	ftp	rftp	web	qlen	maxd	avgd	rate
--------------------------------------------------------------------
76	60	2	30	-	50	17	9161 (0.96)
68	14	2	71	-	50	17	7815 (0.92)
88	3	2	11	-	50	22	9834 (0.89)
50	9	2	15	-	50	29	5944 (0.95)
33	45	1	52	-	50	15	3963 (0.96)
32	19	2	41	-	50	15	3659 (0.91)
16	3	2	60	-	50	17	1735 (0.87)
59	1	4	77	-	50	10	4951 (0.67)
100	61	0	24	-	50	11	12298 (0.98)
12	12	0	5	-	50	11	1428 (0.95)
47	57	2	21	-	50	17	5607 (0.95)
43	5	2	78	-	50	19	4898 (0.91)
4	34	0	29	-	50	20	496 (0.99)
44	60	4	5	-	50	18	5187 (0.94)
10	3	0	41	-	50	7	1130 (0.90)
20	42	3	36	-	50	20	2400 (0.96)
78	24	0	33	-	50	6	9330 (0.96)
8	3	3	69	-	50	15	867 (0.87)
52	59	2	28	-	50	19	6208 (0.96)
21	18	2	25	-	50	16	2369 (0.90)
40	56	4	48	-	50	20	4805 (0.96)
54	8	4	29	-	50	17	6232 (0.92)
59	32	2	42	-	50	14	6916 (0.94)
20	40	2	13	-	50	18	2369 (0.95)
82	60	4	33	-	50	16	9741 (0.95)
37	35	0	2	-	50	11	4487 (0.97)
12	63	1	64	-	50	22	1487 (0.99)
55	33	3	24	-	50	13	6354 (0.92)
64	49	4	2	-	50	16	7483 (0.94)
21	56	2	58	-	50	22	2564 (0.98)
86	1	1	35	-	50	14	8505 (0.79)
98	59	3	69	-	50	15	11729 (0.96)
9	29	3	44	-	50	19	1091 (0.97)
19	7	3	15	-	50	20	2157 (0.91)
83	16	0	7	-	50	4	9733 (0.94)
34	18	0	63	-	50	9	4087 (0.96)
42	39	2	76	-	50	14	4948 (0.94)
87	16	0	19	-	50	4	10197 (0.94)
59	48	1	35	-	50	13	7092 (0.96)
25	6	3	77	-	50	13	2745 (0.88)
73	3	4	42	-	50	21	6988 (0.77)
91	24	0	50	-	50	6	10868 (0.96)
32	35	0	10	-	50	12	3875 (0.97)
9	44	4	21	-	50	21	1107 (0.98)
59	44	2	23	-	50	15	6949 (0.94)
1	19	3	50	-	50	33	125 (1.00)
28	61	4	34	-	50	18	3407 (0.97)
8	8	1	46	-	50	15	903 (0.90)
79	13	4	59	-	50	21	9420 (0.95)
32	48	4	44	-	50	17	3824 (0.96)
95	54	2	18	-	50	14	11340 (0.95)
69	21	3	65	-	50	14	8068 (0.94)
34	53	3	30	-	50	17	3999 (0.94)
23	39	2	10	-	50	16	2706 (0.94)
4	52	1	20	-	50	21	486 (0.97)
55	64	4	14	-	50	17	6583 (0.96)
47	43	0	50	-	50	12	5738 (0.98)
28	57	2	31	-	50	20	3378 (0.97)
43	33	2	42	-	50	16	5014 (0.93)
11	35	2	53	-	50	18	1347 (0.98)
90	21	0	33	-	50	5	10690 (0.95)
6	51	0	77	-	50	24	747 (1.00)
13	37	0	64	-	50	16	1618 (1.00)
13	35	0	38	-	50	14	1616 (0.99)
44	19	4	5	-	50	13	4962 (0.90)
55	43	3	28	-	50	15	6424 (0.93)
80	52	1	42	-	50	14	9576 (0.96)
12	12	0	17	-	50	10	1432 (0.95)
3	47	4	43	-	50	24	368 (0.98)
49	11	1	65	-	50	14	5583 (0.91)
14	4	3	0	-	50	22	1519 (0.87)
43	42	4	31	-	50	13	5096 (0.95)
73	52	3	5	-	50	15	8631 (0.95)
51	46	1	74	-	50	16	6139 (0.96)
55	36	3	27	-	50	16	6420 (0.93)
98	28	1	69	-	50	21	11525 (0.94)
6	60	4	70	-	50	21	737 (0.98)
59	63	3	10	-	50	17	7036 (0.95)
45	1	3	22	-	50	14	4019 (0.71)
24	33	1	50	-	50	16	2853 (0.95)
47	53	1	78	-	50	16	5665 (0.96)
29	25	3	3	-	50	14	3277 (0.90)
63	40	4	80	-	50	14	7454 (0.95)
52	28	0	5	-	50	8	6277 (0.97)
61	6	3	6	-	50	20	7314 (0.96)
85	23	4	74	-	50	17	9864 (0.93)
76	31	3	68	-	50	14	8862 (0.93)
42	60	4	53	-	50	16	5070 (0.97)
88	29	2	64	-	50	20	10221 (0.93)
31	16	0	38	-	50	8	3704 (0.96)
70	21	0	19	-	50	7	8339 (0.95)
62	28	4	30	-	50	13	7145 (0.92)
60	16	3	26	-	50	18	7078 (0.94)
99	60	3	34	-	50	15	11827 (0.96)
38	42	0	0	-	50	13	4613 (0.97)
20	61	3	43	-	50	19	2463 (0.99)
51	57	4	43	-	50	17	6128 (0.96)
63	45	0	19	-	50	11	7702 (0.98)
31	18	3	63	-	50	13	3521 (0.91)
2	49	4	38	-	50	25	247 (0.99)
89	37	2	53	-	50	16	10424 (0.94)
77	21	1	76	-	50	14	9010 (0.94)
6	17	1	31	-	50	19	717 (0.96)
31	12	3	24	-	50	13	3437 (0.89)
28	25	1	48	-	50	16	3268 (0.93)
87	21	2	22	-	50	24	10454 (0.96)
49	49	1	28	-	50	16	5864 (0.96)
26	59	3	6	-	50	18	3157 (0.97)
97	28	4	54	-	50	14	11257 (0.93)
78	25	2	14	-	50	21	9239 (0.95)
10	31	1	32	-	50	20	1221 (0.98)
78	23	0	65	-	50	6	9339 (0.96)
30	62	0	66	-	50	18	3725 (0.99)
21	5	1	33	-	50	22	2403 (0.92)
16	5	0	7	-	50	5	1807 (0.90)
29	2	3	76	-	50	15	2907 (0.80)
8	23	3	14	-	50	17	960 (0.96)
13	46	4	52	-	50	20	1598 (0.98)
64	62	1	17	-	50	18	7755 (0.97)
8	46	1	61	-	50	21	984 (0.98)
