bw	ftp	rftp	web	qlen	maxd	avgd	rate
--------------------------------------------------------------------
61	20	0	48	34	6	0	3558 (0.47)
34	30	2	68	34	12	2	3091 (0.73)
31	57	1	80	34	13	3	3211 (0.83)
95	48	0	40	34	4	0	5515 (0.46)
32	20	3	6	34	12	1	2531 (0.63)
17	25	0	20	34	23	6	1814 (0.85)
83	29	3	4	34	5	0	6161 (0.59)
6	9	2	7	34	66	21	614 (0.82)
38	18	4	24	34	10	1	3085 (0.65)
46	30	0	57	34	9	1	3827 (0.67)
44	44	0	36	34	9	2	3988 (0.73)
7	56	4	11	34	57	27	807 (0.92)
53	26	3	4	34	7	1	4232 (0.64)
97	14	1	30	34	4	0	3685 (0.30)
9	10	1	41	34	44	8	878 (0.78)
34	51	3	9	34	12	3	3393 (0.80)
87	33	0	2	34	5	1	6136 (0.56)
47	29	1	30	34	8	1	3969 (0.68)
81	12	2	21	34	5	0	3030 (0.30)
59	45	1	42	34	7	1	4892 (0.66)
97	32	3	74	34	4	0	4733 (0.39)
35	34	1	1	34	11	3	3306 (0.76)
60	40	3	42	34	7	1	4858 (0.65)
62	22	0	63	34	6	0	3756 (0.48)
36	48	4	14	34	11	2	3414 (0.76)
72	14	0	18	34	5	0	3759 (0.42)
42	63	3	30	34	9	2	4006 (0.76)
72	7	1	23	34	5	0	2030 (0.23)
59	32	1	36	34	7	1	4602 (0.62)
74	37	3	16	34	5	0	5525 (0.60)
72	63	3	18	34	6	1	5740 (0.64)
31	48	1	8	34	13	3	3084 (0.80)
76	28	0	29	34	5	0	4740 (0.50)
15	4	2	73	34	26	2	915 (0.49)
2	44	0	21	34	198	134	247 (0.99)
80	33	4	56	34	5	0	4833 (0.48)
68	61	4	58	34	6	1	5181 (0.61)
27	64	3	69	34	15	4	2844 (0.84)
75	46	0	20	34	5	1	5632 (0.60)
38	27	1	15	34	10	1	3351 (0.71)
78	61	2	14	34	5	0	5974 (0.61)
38	60	4	32	34	10	3	3677 (0.77)
25	30	1	34	34	16	3	2501 (0.80)
13	42	1	24	34	30	13	1479 (0.91)
23	9	3	43	34	17	1	1650 (0.57)
31	37	0	64	34	13	3	3095 (0.80)
15	20	4	69	34	26	6	1492 (0.80)
27	50	2	39	34	15	4	2782 (0.82)
1	27	1	65	34	392	173	124 (0.99)
43	46	1	28	34	9	2	3987 (0.74)
99	42	2	31	34	4	0	5819 (0.47)
27	47	1	48	34	15	3	2775 (0.82)
53	29	0	60	34	7	1	3926 (0.59)
24	34	0	14	34	16	4	2397 (0.80)
52	57	1	25	34	8	1	4641 (0.71)
61	27	4	22	34	6	0	4508 (0.59)
54	11	3	7	34	7	0	2753 (0.41)
11	44	2	31	34	36	16	1262 (0.92)
62	60	2	50	34	6	1	4938 (0.64)
41	61	4	58	34	10	2	3966 (0.77)
98	36	4	78	34	4	0	5115 (0.42)
2	62	4	77	34	198	93	248 (0.99)
54	56	3	51	34	7	1	4497 (0.67)
86	30	1	46	34	5	0	4528 (0.42)
26	63	0	37	34	15	5	2777 (0.85)
52	26	0	76	34	8	1	3424 (0.53)
18	6	3	56	34	22	2	1094 (0.49)
77	23	3	43	34	5	0	4162 (0.43)
4	12	0	65	34	98	47	489 (0.98)
54	62	3	51	34	7	1	4597 (0.68)
43	10	0	0	34	9	2	2688 (0.50)
18	25	1	75	34	22	5	1875 (0.83)
3	58	4	71	34	132	64	370 (0.99)
24	31	4	45	34	16	4	2400 (0.80)
85	53	3	5	34	5	0	6151 (0.58)
66	24	3	27	34	6	0	4181 (0.51)
92	35	4	43	34	4	0	5097 (0.44)
82	2	1	5	34	5	0	608 (0.06)
55	62	2	74	34	7	1	4755 (0.69)
75	50	2	52	34	5	0	5302 (0.57)
46	46	0	13	34	9	2	4272 (0.74)
79	22	3	4	34	5	0	5071 (0.51)
81	30	1	17	34	5	0	5257 (0.52)
50	52	4	12	34	8	1	4426 (0.71)
37	11	0	66	34	11	1	2114 (0.46)
32	22	0	16	34	12	2	3017 (0.75)
61	30	0	31	34	6	1	4578 (0.60)
6	35	2	13	34	66	36	707 (0.94)
80	3	1	47	34	5	0	1120 (0.11)
19	37	2	38	34	21	6	2057 (0.87)
27	27	3	74	34	15	2	2601 (0.77)
59	39	3	36	34	7	1	4863 (0.66)
76	48	4	76	34	5	0	4862 (0.51)
91	22	2	37	34	4	0	4269 (0.38)
76	55	2	47	34	5	0	5395 (0.57)
91	1	4	58	34	4	0	661 (0.06)
13	21	3	36	34	30	8	1356 (0.83)
17	37	1	34	34	23	8	1849 (0.87)
6	46	1	63	34	66	37	733 (0.98)
37	20	0	35	34	11	1	3141 (0.68)
44	52	4	31	34	9	2	3997 (0.73)
13	43	2	22	34	30	14	1461 (0.90)
79	57	3	17	34	5	1	5975 (0.61)
56	50	1	18	34	7	1	4752 (0.68)
14	51	1	0	34	28	9	1491 (0.85)
13	5	1	57	34	30	3	920 (0.57)
38	36	4	34	34	10	2	3491 (0.73)
52	33	3	34	34	8	1	4223 (0.65)
63	45	1	16	34	6	1	5299 (0.67)
5	11	2	59	34	78	28	574 (0.92)
71	57	1	46	34	6	1	5238 (0.59)
52	63	1	7	34	8	2	4662 (0.72)
17	58	0	20	34	23	9	1871 (0.88)
82	53	1	54	34	5	0	5216 (0.51)
41	32	3	24	34	10	1	3688 (0.72)
81	46	4	1	34	5	0	6364 (0.63)
16	19	0	40	34	25	6	1695 (0.85)
25	22	0	52	34	16	2	2337 (0.75)
28	20	3	56	34	14	2	2498 (0.71)
90	45	4	13	34	4	0	5909 (0.53)
