bw	ftp	rftp	web	qlen	maxd	avgd	rate
--------------------------------------------------------------------
17	43	2	11	1000	596	28	2047 (0.96)
5	24	3	76	1000	660	41	613 (0.98)
44	18	4	80	1000	252	13	5067 (0.92)
96	58	3	5	1000	125	19	11399 (0.95)
92	12	4	78	1000	127	25	10790 (0.94)
97	34	2	69	1000	122	15	11316 (0.93)
80	9	0	44	1000	149	4	9264 (0.93)
88	64	2	17	1000	136	17	10580 (0.96)
100	6	3	43	1000	104	22	11952 (0.96)
47	52	0	3	1000	254	13	5727 (0.97)
46	42	4	71	1000	256	14	5472 (0.95)
26	58	1	61	1000	439	24	3195 (0.98)
75	27	3	80	1000	158	13	8618 (0.92)
77	9	4	46	1000	145	29	9039 (0.94)
45	23	2	63	1000	262	16	5151 (0.92)
8	61	1	15	1000	812	34	985 (0.98)
83	52	0	36	1000	144	11	10193 (0.98)
92	60	4	67	1000	129	15	10939 (0.95)
42	24	1	52	1000	281	16	4893 (0.93)
74	63	1	6	1000	161	17	8945 (0.97)
54	9	4	44	1000	195	16	6229 (0.92)
60	19	3	53	1000	198	19	6820 (0.91)
91	14	3	63	1000	131	17	10466 (0.92)
59	60	2	32	1000	201	17	7050 (0.96)
56	29	3	13	1000	212	13	6382 (0.91)
97	54	0	63	1000	123	10	11922 (0.98)
37	6	4	33	1000	219	18	4198 (0.91)
24	3	3	70	1000	318	17	2621 (0.87)
72	24	0	25	1000	166	5	8630 (0.96)
71	5	3	74	1000	149	16	8373 (0.94)
68	1	2	28	1000	162	19	6310 (0.74)
95	54	4	13	1000	126	13	11182 (0.94)
17	45	1	34	1000	615	24	2089 (0.98)
18	31	0	36	1000	631	26	2212 (0.98)
1	27	2	43	1000	1294	79	125 (1.00)
74	47	1	25	1000	162	15	8854 (0.96)
74	17	2	16	1000	161	28	8672 (0.94)
70	4	1	72	1000	151	20	8308 (0.95)
49	47	2	75	1000	240	17	5836 (0.95)
27	22	1	62	1000	426	21	3144 (0.93)
64	34	2	78	1000	186	16	7489 (0.94)
18	42	4	54	1000	597	30	2186 (0.97)
22	54	1	62	1000	514	25	2713 (0.99)
82	32	0	24	1000	146	7	9929 (0.97)
19	50	4	71	1000	558	25	2328 (0.98)
94	37	3	37	1000	127	14	10932 (0.93)
43	24	4	38	1000	265	17	4905 (0.91)
76	62	3	78	1000	156	20	9110 (0.96)
71	43	4	4	1000	168	13	8233 (0.93)
22	54	2	54	1000	507	28	2675 (0.97)
91	8	2	43	1000	127	29	10869 (0.96)
70	43	2	0	1000	171	17	8188 (0.94)
27	48	1	78	1000	422	24	3293 (0.98)
3	27	4	56	1000	851	43	370 (0.99)
66	21	2	35	1000	180	19	7527 (0.91)
14	12	3	57	1000	404	20	1589 (0.91)
22	15	3	27	1000	451	21	2471 (0.90)
39	57	2	75	1000	299	21	4686 (0.96)
73	46	4	21	1000	163	14	8497 (0.93)
78	14	3	32	1000	151	20	8946 (0.92)
60	3	3	34	1000	199	30	7038 (0.94)
57	20	4	78	1000	207	16	6474 (0.91)
45	19	3	4	1000	265	14	5060 (0.90)
65	58	0	32	1000	184	13	7974 (0.98)
16	12	0	11	1000	370	13	1897 (0.95)
51	33	0	31	1000	233	10	6204 (0.97)
24	23	0	28	1000	482	17	2896 (0.97)
66	20	1	78	1000	180	12	7674 (0.93)
99	5	4	15	1000	121	36	11125 (0.90)
82	34	1	9	1000	146	14	9605 (0.94)
65	55	0	36	1000	184	13	7975 (0.98)
53	48	2	73	1000	223	17	6305 (0.95)
2	23	0	79	1000	979	66	250 (1.00)
96	1	1	12	1000	125	27	10775 (0.90)
43	59	0	17	1000	276	15	5253 (0.98)
94	5	2	49	1000	125	21	11322 (0.96)
71	28	1	24	1000	168	14	8270 (0.93)
46	53	4	4	1000	257	20	5430 (0.94)
98	26	1	48	1000	121	19	11356 (0.93)
67	52	4	43	1000	177	17	7928 (0.95)
52	35	3	68	1000	227	15	6045 (0.93)
52	52	1	29	1000	229	17	6257 (0.96)
84	37	1	71	1000	142	18	9902 (0.94)
76	20	3	20	1000	157	14	8550 (0.90)
43	5	2	72	1000	213	24	4984 (0.93)
14	46	0	8	1000	601	22	1746 (1.00)
59	7	0	34	1000	202	3	6741 (0.91)
25	62	4	4	1000	448	26	3042 (0.97)
69	60	2	51	1000	172	19	8278 (0.96)
53	21	0	31	1000	224	7	6358 (0.96)
40	49	0	38	1000	295	16	4883 (0.98)
96	9	4	2	1000	116	24	11518 (0.96)
90	10	3	2	1000	131	17	10625 (0.94)
36	14	1	1	1000	320	20	4066 (0.90)
93	31	3	72	1000	128	21	10738 (0.92)
54	13	4	67	1000	187	12	6017 (0.89)
43	38	1	58	1000	274	15	5113 (0.95)
10	24	3	14	1000	603	28	1186 (0.95)
95	22	2	9	1000	126	19	11063 (0.93)
36	20	4	76	1000	301	15	4150 (0.92)
89	23	1	34	1000	134	15	10318 (0.93)
10	57	0	8	1000	664	25	1249 (1.00)
41	32	4	67	1000	266	17	4805 (0.94)
58	6	4	58	1000	133	21	6879 (0.95)
63	28	2	3	1000	190	18	7246 (0.92)
34	29	3	26	1000	325	19	3865 (0.91)
44	24	2	31	1000	267	15	5084 (0.92)
