bw	ftp	rftp	web	qlen	maxd	avgd	rate
--------------------------------------------------------------------
71	7	3	38	1000	140	5	5109 (0.58)
10	58	3	21	1000	912	39	1173 (0.94)
56	46	0	78	1000	211	7	6436 (0.92)
34	8	2	53	1000	343	16	3213 (0.76)
40	7	3	0	1000	231	25	3899 (0.78)
32	6	1	77	1000	254	7	2655 (0.66)
26	46	1	65	1000	446	16	3021 (0.93)
6	62	0	52	1000	1080	50	742 (0.99)
100	33	4	79	1000	119	24	10119 (0.81)
32	55	1	75	1000	365	18	3671 (0.92)
54	39	2	5	1000	221	17	5707 (0.85)
34	2	4	67	1000	257	4	2060 (0.48)
43	48	4	73	1000	272	20	4753 (0.88)
68	24	1	39	1000	175	12	6482 (0.76)
92	16	1	18	1000	130	19	8759 (0.76)
21	55	4	8	1000	552	23	2393 (0.91)
73	21	1	63	1000	163	18	7578 (0.83)
10	9	0	26	1000	308	11	1097 (0.88)
47	48	0	56	1000	251	6	5365 (0.91)
28	64	4	0	1000	420	20	3224 (0.92)
87	38	4	53	1000	137	21	8864 (0.82)
84	63	1	40	1000	142	10	8770 (0.84)
59	59	2	54	1000	201	13	6500 (0.88)
77	55	2	49	1000	155	15	8303 (0.86)
42	3	0	13	1000	157	2	4072 (0.78)
75	51	1	57	1000	158	11	8009 (0.85)
77	29	2	1	1000	155	19	8558 (0.89)
23	56	2	39	1000	502	18	2647 (0.92)
30	38	1	17	1000	391	16	3366 (0.90)
77	3	2	51	1000	155	2	5014 (0.52)
92	62	3	77	1000	130	17	9914 (0.86)
47	53	3	72	1000	250	18	5198 (0.88)
30	50	2	24	1000	391	17	3407 (0.91)
41	32	4	61	1000	288	19	4465 (0.87)
93	8	3	64	1000	127	4	6594 (0.57)
50	63	4	51	1000	236	19	5649 (0.90)
88	48	1	0	1000	136	8	8501 (0.77)
30	20	0	42	1000	385	10	3465 (0.92)
30	26	3	22	1000	392	21	3247 (0.87)
51	25	0	26	1000	232	5	5934 (0.93)
35	7	3	8	1000	295	15	3259 (0.74)
2	17	1	65	1000	688	47	248 (0.99)
85	57	1	25	1000	141	14	9330 (0.88)
98	58	3	15	1000	122	19	10083 (0.82)
32	39	3	41	1000	363	19	3458 (0.86)
30	45	1	17	1000	388	17	3385 (0.90)
52	3	4	26	1000	229	5	3396 (0.52)
58	17	4	78	1000	204	16	5696 (0.79)
66	50	1	25	1000	181	11	6642 (0.81)
42	31	1	62	1000	279	13	4610 (0.88)
52	49	4	24	1000	229	13	5683 (0.87)
64	49	0	55	1000	185	6	7429 (0.93)
68	4	4	10	1000	176	5	4736 (0.56)
28	56	2	8	1000	421	17	3190 (0.91)
50	23	2	61	1000	237	23	4879 (0.78)
97	4	2	16	1000	123	14	8433 (0.70)
12	58	0	4	1000	837	26	1474 (0.98)
36	59	2	55	1000	325	16	4068 (0.90)
91	24	1	44	1000	131	33	9792 (0.86)
63	45	0	60	1000	189	6	7337 (0.93)
5	55	0	76	1000	1169	55	619 (0.99)
47	37	0	66	1000	250	6	5413 (0.92)
56	37	3	79	1000	211	20	5551 (0.79)
3	31	0	43	1000	798	36	368 (0.98)
55	26	2	33	1000	216	13	5506 (0.80)
41	14	2	28	1000	257	23	4099 (0.80)
12	20	2	65	1000	565	25	1318 (0.88)
14	47	0	16	1000	793	25	1693 (0.97)
67	30	2	61	1000	177	12	6482 (0.77)
29	59	0	38	1000	404	12	3421 (0.94)
21	50	3	48	1000	542	23	2404 (0.92)
64	29	3	18	1000	186	23	6466 (0.81)
16	25	1	23	1000	579	20	1779 (0.89)
95	51	4	31	1000	126	20	9958 (0.84)
24	52	4	6	1000	486	21	2699 (0.90)
21	36	0	36	1000	546	15	2438 (0.93)
9	17	4	36	1000	458	23	945 (0.84)
15	3	1	73	1000	181	8	1221 (0.65)
7	53	3	16	1000	847	36	822 (0.94)
65	23	4	10	1000	184	45	7065 (0.87)
58	9	2	53	1000	202	6	4603 (0.63)
49	39	1	36	1000	242	19	5177 (0.85)
70	53	1	61	1000	170	14	7649 (0.87)
19	32	0	64	1000	586	16	2170 (0.91)
36	2	3	73	1000	215	5	2295 (0.51)
4	13	0	31	1000	464	19	468 (0.94)
84	20	2	10	1000	142	26	8837 (0.84)
11	47	3	61	1000	796	37	1302 (0.95)
98	11	1	60	1000	122	6	8062 (0.66)
29	56	0	37	1000	403	11	3364 (0.93)
65	3	1	11	1000	125	2	4820 (0.59)
38	19	3	76	1000	306	24	3835 (0.81)
53	28	4	65	1000	219	22	5727 (0.86)
84	41	1	21	1000	142	12	8897 (0.85)
80	37	0	46	1000	149	4	9433 (0.94)
83	27	1	47	1000	144	20	8371 (0.81)
21	40	3	63	1000	511	23	2388 (0.91)
32	12	4	25	1000	297	30	3312 (0.83)
46	45	3	69	1000	257	18	5004 (0.87)
72	57	3	58	1000	165	15	7575 (0.84)
56	6	2	20	1000	176	6	4086 (0.58)
5	11	3	36	1000	393	20	527 (0.84)
3	57	0	11	1000	1106	47	372 (0.99)
63	42	4	35	1000	189	19	6594 (0.84)
8	22	0	55	1000	573	19	939 (0.94)
24	55	1	66	1000	479	19	2818 (0.94)
58	38	0	24	1000	205	5	6770 (0.93)
44	61	1	71	1000	269	16	5035 (0.92)
82	28	1	8	1000	146	21	9602 (0.94)
