bw	ftp	rftp	web	qlen	maxd	avgd	rate
--------------------------------------------------------------------
55	39	2	69	288	62	28	6485 (0.94)
68	54	0	38	288	51	24	8273 (0.97)
15	54	2	21	288	228	108	1849 (0.99)
79	4	3	32	288	44	10	6827 (0.69)
53	11	2	53	288	65	28	5832 (0.88)
18	23	0	61	288	187	143	2227 (0.99)
96	27	4	23	288	36	13	10472 (0.87)
8	14	0	14	288	426	337	991 (0.99)
64	35	1	4	288	54	27	7690 (0.96)
5	63	3	42	288	655	353	623 (1.00)
81	25	0	52	288	43	17	9632 (0.95)
8	32	1	62	288	413	204	992 (0.99)
51	3	3	8	288	68	18	3915 (0.61)
81	35	1	19	288	43	20	9753 (0.96)
24	12	3	63	288	142	52	2555 (0.85)
20	20	2	36	288	171	65	2304 (0.92)
39	3	4	24	288	88	19	3066 (0.63)
80	26	3	3	288	43	18	8999 (0.90)
54	61	3	35	288	64	32	6254 (0.93)
47	41	1	16	288	73	37	5740 (0.98)
83	62	4	25	288	41	20	9571 (0.92)
3	46	0	15	288	1118	954	374 (1.00)
77	20	0	47	288	45	18	8981 (0.93)
5	4	4	54	288	623	172	596 (0.95)
58	39	3	20	288	59	25	6719 (0.93)
7	60	4	42	288	477	226	870 (0.99)
65	59	1	36	288	53	28	7952 (0.98)
48	34	3	10	288	72	32	5450 (0.91)
62	39	0	76	288	56	31	7594 (0.98)
94	27	3	41	288	37	16	10757 (0.92)
55	34	0	37	288	63	31	6718 (0.98)
83	6	0	50	288	41	10	8668 (0.84)
35	14	0	73	288	98	52	4263 (0.97)
97	41	4	25	288	36	15	10765 (0.89)
35	39	0	26	288	98	65	4304 (0.98)
6	23	0	25	288	558	450	748 (1.00)
9	62	4	42	288	376	167	1115 (0.99)
89	45	2	30	288	39	18	10496 (0.94)
72	4	3	7	288	48	11	5684 (0.63)
16	38	2	23	288	214	103	1956 (0.98)
60	45	0	28	288	57	29	7334 (0.98)
25	40	0	38	288	137	106	3090 (0.99)
4	34	4	20	288	818	434	498 (1.00)
63	51	4	79	288	55	27	7448 (0.95)
3	52	3	13	288	1089	665	374 (1.00)
1	30	3	77	288	2376	1433	125 (1.00)
24	57	0	9	288	143	98	2972 (0.99)
64	37	0	59	288	54	28	7784 (0.97)
86	28	1	12	288	40	15	9833 (0.91)
85	5	3	27	288	41	10	6636 (0.62)
12	1	0	5	288	287	115	1455 (0.97)
63	61	4	4	288	55	25	7310 (0.93)
71	27	1	45	288	48	21	8485 (0.96)
57	38	3	45	288	60	28	6677 (0.94)
36	64	3	23	288	96	53	4274 (0.95)
65	21	0	75	288	53	23	7767 (0.96)
84	43	2	19	288	41	17	9744 (0.93)
53	32	3	35	288	65	29	6115 (0.92)
46	60	1	70	288	75	37	5520 (0.96)
18	32	3	26	288	191	91	2160 (0.96)
83	40	0	15	288	41	13	9599 (0.93)
5	42	3	11	288	672	360	619 (0.99)
27	33	1	79	288	127	58	3252 (0.96)
81	40	2	16	288	43	19	9347 (0.92)
52	10	1	5	288	66	22	5871 (0.90)
52	6	3	43	288	66	20	5061 (0.78)
47	51	0	23	288	73	44	5775 (0.98)
12	57	0	77	288	284	230	1495 (1.00)
76	46	2	29	288	45	23	9031 (0.95)
98	62	3	70	288	35	16	11436 (0.93)
62	15	2	10	288	56	23	6671 (0.86)
75	7	4	47	288	46	13	7068 (0.75)
48	51	0	57	288	72	47	5920 (0.99)
40	23	1	77	288	86	32	4598 (0.92)
23	35	3	44	288	148	78	2727 (0.95)
70	35	1	1	288	49	22	8442 (0.96)
17	63	4	47	288	200	108	2086 (0.98)
87	16	1	32	288	40	14	9156 (0.84)
95	14	3	17	288	36	11	9327 (0.79)
70	22	2	54	288	49	22	7992 (0.91)
3	34	1	51	288	1083	633	374 (1.00)
46	48	3	54	288	75	34	5325 (0.93)
65	57	1	5	288	53	28	7910 (0.97)
90	52	4	21	288	38	17	10317 (0.92)
52	16	4	48	288	66	25	5587 (0.86)
91	36	0	20	288	38	10	10365 (0.91)
98	45	0	2	288	35	8	10579 (0.86)
74	26	2	16	288	47	21	8608 (0.93)
33	56	4	52	288	104	52	3906 (0.95)
46	15	1	19	288	75	27	5413 (0.94)
12	6	2	29	288	284	74	1276 (0.85)
45	20	3	76	288	76	30	4991 (0.89)
30	51	2	14	288	115	61	3672 (0.98)
28	19	2	5	288	123	52	3227 (0.92)
80	31	3	44	288	43	17	9100 (0.91)
33	19	2	21	288	104	39	3752 (0.91)
11	49	0	70	288	303	247	1371 (1.00)
37	41	3	35	288	93	51	4360 (0.94)
91	14	2	49	288	38	13	9776 (0.86)
25	46	3	21	288	137	67	2979 (0.95)
83	18	3	22	288	41	17	8915 (0.86)
56	58	1	21	288	62	29	6798 (0.97)
33	50	0	12	288	104	64	4064 (0.99)
39	60	0	59	288	88	66	4824 (0.99)
97	22	2	41	288	35	12	10825 (0.89)
60	64	2	53	288	57	30	7171 (0.96)
73	9	1	60	288	47	11	8035 (0.88)
69	33	2	38	288	50	22	8094 (0.94)
35	63	4	27	288	98	52	4157 (0.95)
64	53	3	25	288	54	26	7478 (0.93)
3	33	3	28	288	1101	608	374 (1.00)
23	46	2	9	288	150	78	2795 (0.97)
1	19	4	22	288	2637	1565	125 (1.00)
92	62	2	67	288	37	16	10881 (0.95)
11	43	0	28	288	309	265	1369 (1.00)
32	37	0	69	288	107	79	3947 (0.99)
88	37	0	4	288	39	9	9620 (0.87)
65	50	4	43	288	53	25	7582 (0.93)
74	22	0	38	288	47	20	8844 (0.96)
26	43	3	30	288	132	66	3060 (0.94)
