=====================================
Time    Queue length    Rate    Drops
-------------------------------------
0.5	0		827.6	0
1.0	13		8704.9	657
1.5	1		5190.0	0
2.0	3		1272.2	0
2.5	0		7356.4	0
3.0	0		8122.2	0
3.5	0		8412.1	0
4.0	0		8737.8	0
4.5	0		9067.5	0
5.0	1		9333.7	0
5.5	0		9656.5	0
6.0	0		9995.2	0
6.5	0		10270.1	0
7.0	0		10856.4	0
7.5	0		10841.1	0
8.0	0		11131.4	0
8.5	0		11430.5	0
9.0	0		11724.1	0
9.5	0		11999.2	0
10.0	0		12251.6	0
10.5	2		12500.0	0
11.0	4		12501.0	0
11.5	0		12491.2	2
12.0	0		11875.2	0
12.5	0		12141.4	0
13.0	1		12423.9	0
13.5	4		12501.1	0
14.0	6		12498.6	1
14.5	0		10507.6	2
15.0	0		9552.0	0
15.5	0		9837.1	0
16.0	0		10168.7	0
16.5	0		10460.4	0
17.0	0		10746.0	0
17.5	1		11037.7	0
18.0	0		11459.3	0
18.5	0		11686.4	0
19.0	0		11962.7	0
19.5	0		12249.0	0
20.0	2		12486.0	0
20.5	5		12499.0	0
21.0	0		12500.0	2
21.5	0		11950.1	0
22.0	0		12237.9	0
22.5	3		12496.7	0
23.0	4		12498.9	0
23.5	0		12340.7	1
24.0	0		11862.1	0
24.5	0		12157.5	0
25.0	1		12432.7	0
25.5	3		12498.9	0
26.0	6		12501.0	1
26.5	0		11383.7	1
27.0	0		11593.0	0
27.5	0		11903.6	0
28.0	0		12195.9	0
28.5	1		12459.0	0
29.0	4		12498.7	0
29.5	6		12501.4	1
30.0	0		10808.8	1
30.5	0		10810.4	0
31.0	0		11070.1	0
31.5	0		11325.0	0
32.0	0		11620.3	0
32.5	0		11928.7	0
33.0	0		12225.2	0
33.5	2		12470.4	0
34.0	5		12501.2	0
34.5	0		12444.2	2
35.0	0		11807.2	0
35.5	0		12096.4	0
36.0	0		12387.9	0
36.5	2		12501.9	0
37.0	5		12498.6	0
37.5	0		11790.4	2
38.0	0		11548.7	0
38.5	0		11860.4	0
39.0	0		12180.9	0
39.5	1		12421.1	0
40.0	4		12498.1	0
40.5	6		12499.3	1
41.0	0		11185.6	1
41.5	0		10163.3	0
42.0	0		10468.1	0
42.5	0		10767.8	0
43.0	0		11158.8	0
43.5	0		11412.7	0
44.0	0		11652.6	0
44.5	1		11975.4	0
45.0	0		12343.0	0
45.5	2		12484.0	0
46.0	4		12500.3	0
46.5	0		12349.3	2
47.0	0		9982.8	0
47.5	0		9867.3	0
48.0	0		10072.3	0
48.5	0		10462.5	0
49.0	0		10655.7	0
49.5	0		11035.6	0
50.0	0		11276.7	0
50.5	0		1543.9	642
51.0	40		474.1	0
51.5	0		811.1	49
52.0	7		177.0	0
52.5	9		864.0	2
53.0	4		972.0	1
53.5	1		1033.8	0
54.0	0		1236.2	4
54.5	0		964.5	0
55.0	7		1164.0	0
55.5	0		1089.5	3
56.0	5		1131.0	0
56.5	1		1173.0	4
57.0	1		1041.1	0
57.5	1		1220.1	4
58.0	2		930.7	0
58.5	7		1192.8	0
59.0	11		1027.3	4
59.5	4		1185.7	5
60.0	1		882.8	0
60.5	9		1165.5	0
61.0	0		986.2	6
61.5	6		1041.3	0
62.0	1		1177.3	8
62.5	6		947.1	0
63.0	5		1194.2	15
63.5	0		745.9	0
64.0	3		912.2	0
64.5	5		1127.6	0
65.0	1		1233.8	3
65.5	11		1208.5	1
66.0	0		1099.8	3
66.5	8		1180.1	0
67.0	0		1112.4	3
67.5	8		1201.4	0
68.0	2		1061.9	3
68.5	3		1152.2	0
69.0	0		1116.2	5
69.5	1		879.9	0
70.0	12		1194.4	1
70.5	1		1046.9	2
71.0	5		1146.1	0
71.5	2		1049.2	4
72.0	3		1076.8	0
72.5	1		1034.9	5
73.0	0		846.0	0
73.5	6		1095.1	0
74.0	7		1162.3	5
74.5	0		1146.2	0
75.0	1		1206.2	5
75.5	0		812.0	0
76.0	7		1062.8	0
76.5	2		950.1	6
77.0	0		881.3	0
77.5	6		1150.9	6
78.0	0		926.2	0
78.5	3		937.8	0
79.0	12		1188.3	0
79.5	0		1036.3	4
80.0	4		1133.5	3
80.5	22		1217.8	6
81.0	0		819.3	3
81.5	0		826.5	0
82.0	1		1110.0	0
82.5	2		1216.1	2
83.0	6		1184.3	0
83.5	7		1248.9	2
84.0	9		1250.7	3
84.5	9		1239.9	2
85.0	9		1244.7	1
85.5	2		1095.0	2
86.0	7		1146.4	0
86.5	0		1186.2	4
87.0	1		1069.1	0
87.5	0		1248.0	3
88.0	8		1183.5	0
88.5	0		1035.1	4
89.0	4		1062.2	0
89.5	0		1243.0	3
90.0	2		969.3	0
90.5	9		1230.3	2
91.0	7		987.5	2
91.5	1		1106.5	0
92.0	9		1203.5	2
92.5	2		996.2	2
93.0	5		1153.2	0
93.5	1		981.9	4
94.0	0		940.0	0
94.5	6		1170.8	0
95.0	0		997.5	5
95.5	0		918.4	0
96.0	6		1165.5	0
96.5	0		1167.5	3
97.0	8		1230.1	5
97.5	1		837.0	0
98.0	2		1014.0	0
98.5	12		1236.1	6
99.0	0		871.4	0
99.5	5		965.6	0
100.0	8		1211.0	3
100.5	11		205.0	62
101.0	0		99.1	12
101.5	32		72.0	2
102.0	12		84.3	9
102.5	20		97.9	3
103.0	24		117.0	2
103.5	32		126.0	5
104.0	0		123.6	7
104.5	12		105.6	0
105.0	14		117.6	8
105.5	32		114.8	2
106.0	0		127.0	9
106.5	10		120.0	6
107.0	32		126.7	2
107.5	6		123.0	6
108.0	20		120.2	3
