bw	ftp	rftp	web	qlen	maxd	avgd	rate
--------------------------------------------------------------------
17	48	2	31	-	50	11	1850 (0.87)
64	36	2	40	-	50	8	6137 (0.77)
64	45	3	14	-	50	10	5943 (0.74)
69	63	1	44	-	50	7	7618 (0.88)
56	31	0	64	-	50	4	6147 (0.88)
32	42	1	34	-	50	8	3382 (0.85)
23	2	0	27	-	50	1	1476 (0.51)
50	28	1	25	-	50	9	4829 (0.77)
80	19	0	35	-	50	2	8309 (0.83)
96	22	3	77	-	50	5	8351 (0.70)
36	58	3	15	-	50	8	3519 (0.78)
24	43	3	24	-	50	9	2322 (0.77)
70	14	3	14	-	50	3	5547 (0.63)
41	31	2	56	-	50	7	3776 (0.74)
19	32	3	14	-	50	14	1829 (0.77)
41	42	4	51	-	50	10	3858 (0.75)
64	6	3	4	-	50	1	4340 (0.54)
20	12	0	1	-	50	3	2138 (0.86)
71	21	3	24	-	50	7	6125 (0.69)
97	6	2	14	-	50	0	6203 (0.51)
25	10	4	17	-	50	4	2011 (0.64)
49	57	4	54	-	50	9	4621 (0.75)
96	22	1	79	-	50	4	8710 (0.73)
52	21	0	55	-	50	3	5479 (0.84)
4	25	2	76	-	50	25	488 (0.98)
59	54	3	23	-	50	9	5552 (0.75)
31	4	2	55	-	50	2	2010 (0.52)
31	62	3	6	-	50	10	3282 (0.85)
60	7	1	49	-	50	1	4573 (0.61)
4	49	1	54	-	50	21	484 (0.97)
87	14	2	7	-	50	2	6913 (0.64)
84	21	1	72	-	50	3	8329 (0.79)
15	42	1	32	-	50	10	1626 (0.87)
92	41	4	75	-	50	11	8506 (0.74)
32	45	1	20	-	50	8	3274 (0.82)
21	30	4	69	-	50	10	2060 (0.78)
37	30	3	15	-	50	7	3356 (0.73)
87	9	0	63	-	50	1	7403 (0.68)
64	29	1	6	-	50	9	6123 (0.77)
54	23	0	46	-	50	3	5929 (0.88)
81	19	3	60	-	50	4	6820 (0.67)
42	44	0	71	-	50	7	4755 (0.91)
17	36	2	60	-	50	13	1784 (0.84)
83	37	3	23	-	50	13	7583 (0.73)
33	11	4	55	-	50	5	2772 (0.67)
94	45	0	78	-	50	4	10530 (0.90)
24	35	3	17	-	50	8	2163 (0.72)
67	35	3	64	-	50	7	6517 (0.78)
15	47	4	64	-	50	14	1662 (0.89)
75	17	0	43	-	50	2	7775 (0.83)
33	36	2	59	-	50	7	3060 (0.74)
62	42	2	36	-	50	8	5943 (0.77)
67	6	0	0	-	50	1	5227 (0.62)
31	33	4	64	-	50	9	2822 (0.73)
52	45	0	49	-	50	5	5955 (0.92)
83	24	0	7	-	50	2	8961 (0.86)
49	10	2	15	-	50	2	3872 (0.63)
70	58	1	18	-	50	6	7623 (0.87)
92	11	4	29	-	50	2	6717 (0.58)
59	11	0	40	-	50	1	5711 (0.77)
93	35	4	56	-	50	10	8356 (0.72)
94	43	4	45	-	50	14	8562 (0.73)
19	29	1	44	-	50	11	1963 (0.83)
18	24	0	73	-	50	9	1957 (0.87)
49	63	3	80	-	50	9	4879 (0.80)
60	53	0	2	-	50	5	6945 (0.93)
77	29	0	27	-	50	2	8490 (0.88)
18	53	3	80	-	50	14	1992 (0.89)
58	58	2	11	-	50	7	5559 (0.77)
13	56	0	62	-	50	12	1544 (0.95)
28	51	3	36	-	50	12	2833 (0.81)
9	33	3	50	-	50	18	1002 (0.89)
48	17	3	42	-	50	6	4151 (0.69)
59	46	4	10	-	50	9	5098 (0.69)
36	8	2	0	-	50	2	2816 (0.63)
47	41	2	33	-	50	6	4235 (0.72)
22	38	1	67	-	50	9	2234 (0.81)
11	19	4	43	-	50	11	1054 (0.77)
98	10	2	3	-	50	1	7164 (0.58)
62	9	4	75	-	50	2	4464 (0.58)
39	53	1	42	-	50	8	3972 (0.81)
54	55	2	34	-	50	6	5119 (0.76)
55	12	3	35	-	50	3	4383 (0.64)
75	16	3	50	-	50	3	6176 (0.66)
41	53	1	61	-	50	8	4139 (0.81)
77	54	3	25	-	50	9	7034 (0.73)
20	62	1	59	-	50	11	2284 (0.91)
62	49	2	0	-	50	7	5829 (0.75)
55	24	1	36	-	50	5	5708 (0.83)
87	29	1	63	-	50	4	9027 (0.83)
81	22	3	77	-	50	6	7020 (0.69)
66	21	1	2	-	50	5	6468 (0.78)
28	48	1	38	-	50	9	3073 (0.88)
93	62	1	73	-	50	8	9088 (0.78)
52	53	2	7	-	50	7	5015 (0.77)
84	36	1	17	-	50	4	8890 (0.85)
88	15	2	33	-	50	2	7112 (0.65)
72	22	0	1	-	50	2	7746 (0.86)
4	37	3	28	-	50	23	466 (0.93)
50	42	3	55	-	50	9	4561 (0.73)
23	20	4	62	-	50	11	2077 (0.72)
90	7	0	19	-	50	0	7117 (0.63)
82	16	1	73	-	50	3	7770 (0.76)
60	15	4	31	-	50	4	4949 (0.66)
49	43	3	74	-	50	11	4555 (0.74)
77	38	2	35	-	50	9	7316 (0.76)
9	38	4	65	-	50	17	1019 (0.91)
98	15	3	19	-	50	2	7694 (0.63)
84	25	3	12	-	50	8	7491 (0.71)
47	60	4	29	-	50	6	4265 (0.73)
40	3	4	21	-	50	1	1976 (0.40)
22	19	2	50	-	50	10	2123 (0.77)
84	33	2	40	-	50	8	7893 (0.75)
98	20	1	6	-	50	5	8971 (0.73)
53	11	4	64	-	50	3	4066 (0.61)
88	37	0	34	-	50	3	9916 (0.90)
82	37	2	22	-	50	7	7677 (0.75)
63	16	4	5	-	50	6	5244 (0.67)
83	24	3	30	-	50	9	7350 (0.71)
88	34	4	37	-	50	10	7981 (0.73)
