bw	ftp	rftp	web	qlen	maxd	avgd	rate
--------------------------------------------------------------------
17	48	2	31	-	50	23	2054 (0.97)
64	36	2	40	-	50	17	7761 (0.97)
64	45	3	14	-	50	17	7652 (0.96)
69	63	1	44	-	50	19	8588 (1.00)
56	31	0	64	-	50	14	6997 (1.00)
32	42	1	34	-	50	20	3916 (0.98)
23	2	0	27	-	50	5	2833 (0.99)
50	28	1	25	-	50	15	6108 (0.98)
80	19	0	35	-	50	10	9997 (1.00)
96	22	3	77	-	50	13	11306 (0.94)
36	58	3	15	-	50	20	4409 (0.98)
24	43	3	24	-	50	19	2886 (0.96)
70	14	3	14	-	50	12	7981 (0.91)
41	31	2	56	-	50	19	4894 (0.95)
19	32	3	14	-	50	21	2240 (0.94)
41	42	4	51	-	50	20	4987 (0.97)
64	6	3	4	-	50	24	7557 (0.94)
20	12	0	1	-	50	13	2467 (0.99)
71	21	3	24	-	50	14	8251 (0.93)
97	6	2	14	-	50	25	11781 (0.97)
25	10	4	17	-	50	13	2812 (0.90)
49	57	4	54	-	50	21	6019 (0.98)
96	22	1	79	-	50	13	11685 (0.97)
52	21	0	55	-	50	12	6497 (1.00)
4	25	2	76	-	50	27	492 (0.98)
59	54	3	23	-	50	20	7110 (0.96)
31	4	2	55	-	50	13	3479 (0.90)
31	62	3	6	-	50	22	3793 (0.98)
60	7	1	49	-	50	11	7024 (0.94)
4	49	1	54	-	50	22	486 (0.97)
87	14	2	7	-	50	12	10172 (0.94)
84	21	1	72	-	50	13	10217 (0.97)
15	42	1	32	-	50	21	1808 (0.96)
92	41	4	75	-	50	17	10876 (0.95)
32	45	1	20	-	50	21	3927 (0.98)
21	30	4	69	-	50	19	2502 (0.95)
37	30	3	15	-	50	16	4455 (0.96)
87	9	0	63	-	50	7	10860 (1.00)
64	29	1	6	-	50	16	7836 (0.98)
54	23	0	46	-	50	12	6747 (1.00)
81	19	3	60	-	50	10	9401 (0.93)
42	44	0	71	-	50	18	5248 (1.00)
17	36	2	60	-	50	20	2000 (0.94)
83	37	3	23	-	50	15	9966 (0.96)
33	11	4	55	-	50	14	3768 (0.91)
94	45	0	78	-	50	13	11748 (1.00)
24	35	3	17	-	50	19	2865 (0.95)
67	35	3	64	-	50	17	7972 (0.95)
15	47	4	64	-	50	22	1798 (0.96)
75	17	0	43	-	50	10	9372 (1.00)
33	36	2	59	-	50	20	3953 (0.96)
62	42	2	36	-	50	16	7562 (0.98)
67	6	0	0	-	50	6	8344 (1.00)
31	33	4	64	-	50	21	3722 (0.96)
52	45	0	49	-	50	16	6496 (1.00)
83	24	0	7	-	50	11	10373 (1.00)
49	10	2	15	-	50	11	5586 (0.91)
70	58	1	18	-	50	18	8704 (0.99)
92	11	4	29	-	50	11	10630 (0.92)
59	11	0	40	-	50	8	7370 (1.00)
93	35	4	56	-	50	17	10953 (0.94)
94	43	4	45	-	50	16	11159 (0.95)
19	29	1	44	-	50	20	2275 (0.96)
18	24	0	73	-	50	18	2248 (1.00)
49	63	3	80	-	50	21	5946 (0.97)
60	53	0	2	-	50	16	7498 (1.00)
77	29	0	27	-	50	12	9623 (1.00)
18	53	3	80	-	50	21	2179 (0.97)
58	58	2	11	-	50	20	7135 (0.98)
13	56	0	62	-	50	20	1624 (1.00)
28	51	3	36	-	50	22	3392 (0.97)
9	33	3	50	-	50	20	1071 (0.95)
48	17	3	42	-	50	13	5469 (0.91)
59	46	4	10	-	50	19	7218 (0.98)
36	8	2	0	-	50	12	3999 (0.89)
47	41	2	33	-	50	19	5711 (0.97)
22	38	1	67	-	50	21	2666 (0.97)
11	19	4	43	-	50	18	1266 (0.92)
98	10	2	3	-	50	14	11432 (0.93)
62	9	4	75	-	50	14	7180 (0.93)
39	53	1	42	-	50	20	4823 (0.99)
54	55	2	34	-	50	21	6644 (0.98)
55	12	3	35	-	50	13	6139 (0.89)
75	16	3	50	-	50	12	8629 (0.92)
41	53	1	61	-	50	18	5073 (0.99)
77	54	3	25	-	50	16	9348 (0.97)
20	62	1	59	-	50	24	2440 (0.98)
62	49	2	0	-	50	19	7587 (0.98)
55	24	1	36	-	50	14	6688 (0.97)
87	29	1	63	-	50	13	10677 (0.98)
81	22	3	77	-	50	12	9488 (0.94)
66	21	1	2	-	50	13	7988 (0.97)
28	48	1	38	-	50	19	3432 (0.98)
93	62	1	73	-	50	16	11590 (1.00)
52	53	2	7	-	50	18	6370 (0.98)
84	36	1	17	-	50	14	10370 (0.99)
88	15	2	33	-	50	14	10317 (0.94)
72	22	0	1	-	50	11	8998 (1.00)
4	37	3	28	-	50	20	479 (0.96)
50	42	3	55	-	50	20	5953 (0.95)
23	20	4	62	-	50	17	2683 (0.93)
90	7	0	19	-	50	6	11218 (1.00)
82	16	1	73	-	50	12	9866 (0.96)
60	15	4	31	-	50	11	6984 (0.93)
49	43	3	74	-	50	18	6013 (0.98)
77	38	2	35	-	50	16	9382 (0.97)
9	38	4	65	-	50	18	1080 (0.96)
98	15	3	19	-	50	13	11306 (0.92)
84	25	3	12	-	50	14	9888 (0.94)
47	60	4	29	-	50	21	5778 (0.98)
40	3	4	21	-	50	11	4531 (0.91)
22	19	2	50	-	50	16	2510 (0.91)
84	33	2	40	-	50	16	10209 (0.97)
98	20	1	6	-	50	12	11863 (0.97)
53	11	4	64	-	50	15	6147 (0.93)
88	37	0	34	-	50	13	10998 (1.00)
82	37	2	22	-	50	16	10005 (0.98)
63	16	4	5	-	50	12	7357 (0.93)
83	24	3	30	-	50	16	9757 (0.94)
88	34	4	37	-	50	14	10330 (0.94)
