bw	ftp	rftp	web	qlen	maxd	avgd	rate
--------------------------------------------------------------------
29	53	0	64	1000	400	10	3440 (0.95)
72	28	2	0	1000	166	22	7779 (0.86)
15	60	2	33	1000	731	36	1786 (0.95)
25	56	3	43	1000	462	26	2909 (0.93)
53	29	0	53	1000	224	6	6050 (0.91)
43	3	1	45	1000	220	7	3415 (0.64)
48	36	4	31	1000	248	21	5186 (0.86)
52	8	0	61	1000	226	3	5987 (0.92)
64	63	2	8	1000	187	21	7258 (0.91)
73	53	0	57	1000	163	5	8223 (0.90)
79	46	1	36	1000	151	20	8726 (0.88)
18	57	0	35	1000	636	20	2217 (0.99)
39	24	1	28	1000	303	13	4378 (0.90)
66	9	2	48	1000	180	15	6007 (0.73)
38	7	0	6	1000	311	3	4379 (0.92)
35	25	3	12	1000	338	20	3775 (0.86)
58	27	4	33	1000	205	18	6383 (0.88)
37	45	3	71	1000	314	21	4210 (0.91)
11	47	3	55	1000	818	39	1294 (0.94)
39	6	3	75	1000	272	17	3427 (0.70)
92	17	3	49	1000	130	27	10258 (0.89)
15	32	0	77	1000	665	25	1789 (0.95)
72	63	0	20	1000	166	5	7813 (0.87)
49	8	2	46	1000	241	16	4509 (0.74)
33	15	4	14	1000	295	34	3713 (0.90)
97	41	2	30	1000	123	19	10401 (0.86)
5	27	4	62	1000	639	41	589 (0.94)
15	15	2	75	1000	583	23	1625 (0.87)
61	60	0	17	1000	195	6	6656 (0.87)
50	42	1	50	1000	236	18	5705 (0.91)
95	24	4	7	1000	126	46	10513 (0.89)
73	22	2	46	1000	163	38	7836 (0.86)
35	37	2	34	1000	334	16	3905 (0.89)
44	2	0	69	1000	124	2	3990 (0.73)
38	31	1	63	1000	308	15	4305 (0.91)
3	1	3	74	1000	357	32	365 (0.97)
79	50	4	75	1000	150	25	8394 (0.85)
98	55	4	77	1000	122	23	10879 (0.89)
83	25	2	11	1000	144	29	9560 (0.92)
63	37	2	28	1000	189	24	7107 (0.90)
4	55	1	53	1000	1044	59	483 (0.97)
50	34	1	69	1000	236	17	5655 (0.90)
1	48	3	64	1000	1721	114	125 (1.00)
86	3	2	80	1000	138	9	7336 (0.68)
47	56	0	39	1000	253	7	5234 (0.89)
56	10	4	8	1000	213	26	5972 (0.85)
3	35	2	39	1000	912	46	358 (0.96)
100	16	1	14	1000	120	24	10864 (0.87)
100	42	2	14	1000	120	23	10458 (0.84)
15	26	1	31	1000	671	24	1724 (0.92)
34	60	1	70	1000	341	19	3987 (0.94)
100	16	3	1	1000	120	23	11427 (0.91)
22	21	0	32	1000	509	12	2428 (0.88)
79	24	3	15	1000	151	27	7864 (0.80)
16	64	3	17	1000	698	34	1882 (0.94)
75	32	3	2	1000	159	20	7153 (0.76)
2	43	1	67	1000	1186	76	248 (0.99)
24	62	1	19	1000	485	26	2869 (0.96)
26	45	3	53	1000	444	25	3001 (0.92)
94	39	0	0	1000	127	4	10985 (0.93)
41	61	2	48	1000	289	22	4762 (0.93)
72	30	0	46	1000	165	5	8352 (0.93)
33	64	3	68	1000	352	25	3864 (0.94)
94	12	3	60	1000	127	17	9856 (0.84)
36	24	0	76	1000	324	8	4067 (0.90)
46	8	2	17	1000	255	15	4457 (0.78)
62	3	2	33	1000	191	10	4593 (0.59)
64	48	4	47	1000	186	22	7013 (0.88)
46	39	1	60	1000	256	17	5226 (0.91)
87	55	4	35	1000	137	22	9592 (0.88)
32	30	2	5	1000	369	20	3522 (0.88)
1	6	3	6	1000	358	34	106 (0.84)
22	2	3	42	1000	265	10	1595 (0.58)
32	10	3	47	1000	282	26	3431 (0.86)
26	59	4	74	1000	441	29	3056 (0.94)
90	16	1	13	1000	133	25	10038 (0.89)
2	58	3	39	1000	1401	75	245 (0.98)
2	31	4	54	1000	993	61	247 (0.99)
58	24	4	35	1000	205	36	6494 (0.90)
86	42	2	80	1000	139	22	8915 (0.83)
41	47	4	70	1000	286	21	4612 (0.90)
27	2	3	18	1000	189	10	2134 (0.63)
79	62	2	19	1000	151	22	8691 (0.88)
74	3	1	13	1000	115	3	5897 (0.64)
41	10	4	47	1000	220	22	4005 (0.78)
70	40	0	4	1000	171	5	8013 (0.92)
46	31	2	17	1000	258	17	4996 (0.87)
88	17	3	23	1000	136	22	10238 (0.93)
49	16	0	18	1000	243	5	5728 (0.94)
69	1	2	13	1000	163	5	4298 (0.50)
67	63	2	11	1000	178	21	7797 (0.93)
51	30	3	68	1000	232	22	5746 (0.90)
76	44	2	10	1000	157	17	8471 (0.89)
70	18	2	63	1000	170	36	7529 (0.86)
48	33	3	74	1000	246	22	5164 (0.86)
27	28	4	58	1000	426	21	2913 (0.86)
99	38	1	39	1000	121	20	10567 (0.85)
25	13	2	52	1000	455	23	2580 (0.83)
31	48	0	27	1000	380	8	3589 (0.93)
9	10	2	60	1000	333	19	951 (0.85)
99	57	2	14	1000	121	22	10768 (0.87)
17	42	0	18	1000	669	19	2051 (0.97)
6	53	4	28	1000	901	46	702 (0.94)
41	64	3	27	1000	289	23	4759 (0.93)
96	11	3	14	1000	125	19	9545 (0.80)
17	26	4	48	1000	577	28	1872 (0.88)
