bw	ftp	rftp	web	qlen	maxd	avgd	rate
--------------------------------------------------------------------
64	61	2	12	-	50	10	7225 (0.90)
73	40	4	77	-	50	19	7876 (0.86)
100	22	1	8	-	50	19	10223 (0.82)
12	26	4	8	-	50	20	1320 (0.88)
16	43	2	51	-	50	13	1853 (0.93)
16	59	2	35	-	50	14	1898 (0.95)
25	32	1	79	-	50	11	2808 (0.90)
49	26	4	49	-	50	24	5242 (0.86)
10	61	4	49	-	50	19	1192 (0.95)
23	63	0	66	-	50	7	2733 (0.95)
41	13	4	21	-	50	16	3781 (0.74)
10	31	0	25	-	50	10	1191 (0.95)
80	47	0	29	-	50	4	9358 (0.94)
11	58	0	6	-	50	11	1353 (0.98)
75	41	2	48	-	50	10	7296 (0.78)
7	21	0	41	-	50	12	826 (0.94)
10	21	0	69	-	50	9	1148 (0.92)
12	64	0	42	-	50	15	1476 (0.98)
64	55	2	60	-	50	15	7334 (0.92)
27	49	3	44	-	50	13	3026 (0.90)
16	33	0	48	-	50	8	1847 (0.92)
64	4	2	60	-	50	2	4111 (0.51)
28	56	0	21	-	50	6	3275 (0.94)
95	27	3	39	-	50	19	9831 (0.83)
93	26	2	77	-	50	18	9876 (0.85)
82	10	2	19	-	50	7	7082 (0.69)
31	37	4	28	-	50	13	3331 (0.86)
8	42	2	63	-	50	19	961 (0.96)
22	39	3	65	-	50	16	2498 (0.91)
69	25	0	76	-	50	5	7989 (0.93)
19	26	3	71	-	50	15	2105 (0.89)
28	6	0	79	-	50	5	2796 (0.80)
73	12	0	63	-	50	2	7836 (0.86)
11	46	3	30	-	50	18	1277 (0.93)
27	23	2	58	-	50	15	2927 (0.87)
31	55	4	79	-	50	15	3507 (0.90)
62	10	0	0	-	50	1	6865 (0.89)
57	11	2	33	-	50	11	4797 (0.67)
77	60	1	18	-	50	8	8551 (0.89)
21	2	0	5	-	50	1	1894 (0.72)
42	34	3	13	-	50	16	4479 (0.85)
45	31	3	57	-	50	18	4814 (0.86)
37	30	3	15	-	50	11	3709 (0.80)
54	16	2	50	-	50	16	5358 (0.79)
70	49	3	2	-	50	18	7412 (0.85)
100	31	2	76	-	50	22	10864 (0.87)
30	59	0	50	-	50	6	3499 (0.93)
36	52	2	55	-	50	16	4067 (0.90)
86	64	2	24	-	50	9	9280 (0.86)
86	49	2	66	-	50	10	8646 (0.80)
22	31	1	46	-	50	12	2462 (0.90)
76	26	2	34	-	50	21	8190 (0.86)
86	37	2	63	-	50	12	8622 (0.80)
45	27	1	26	-	50	11	4659 (0.83)
39	35	4	50	-	50	13	4075 (0.84)
24	8	1	70	-	50	9	2395 (0.80)
86	41	3	9	-	50	11	8088 (0.75)
79	63	2	26	-	50	17	8985 (0.91)
65	49	4	75	-	50	13	6890 (0.85)
86	44	4	26	-	50	18	9154 (0.85)
75	46	0	72	-	50	5	8768 (0.94)
65	48	2	58	-	50	9	6892 (0.85)
45	6	1	49	-	50	3	3639 (0.65)
67	33	1	11	-	50	14	6882 (0.82)
97	33	0	22	-	50	3	11453 (0.94)
91	4	1	3	-	50	1	6587 (0.58)
85	20	3	16	-	50	17	8435 (0.79)
96	8	4	8	-	50	4	6702 (0.56)
89	32	4	71	-	50	21	9493 (0.85)
3	25	2	32	-	50	22	357 (0.95)
51	61	4	0	-	50	13	5613 (0.88)
40	48	2	28	-	50	13	4462 (0.89)
49	12	4	15	-	50	14	4558 (0.74)
77	10	3	28	-	50	5	5816 (0.60)
99	33	3	50	-	50	22	10323 (0.83)
1	35	1	11	-	50	23	119 (0.95)
4	25	0	77	-	50	21	493 (0.99)
48	64	2	20	-	50	13	5439 (0.91)
14	60	3	67	-	50	18	1664 (0.95)
34	36	2	23	-	50	16	3717 (0.87)
91	56	2	41	-	50	14	9920 (0.87)
19	8	0	65	-	50	6	2014 (0.85)
99	22	3	44	-	50	19	10505 (0.85)
19	14	0	25	-	50	4	2123 (0.89)
48	61	4	39	-	50	12	5374 (0.90)
77	54	0	22	-	50	4	8976 (0.93)
51	51	3	47	-	50	14	5593 (0.88)
33	26	0	64	-	50	6	3791 (0.92)
62	18	2	80	-	50	18	6181 (0.80)
31	22	4	72	-	50	20	3297 (0.85)
35	1	1	74	-	50	2	1733 (0.40)
58	54	1	42	-	50	10	6382 (0.88)
39	17	0	78	-	50	5	4434 (0.91)
8	47	2	67	-	50	20	966 (0.97)
6	22	3	34	-	50	17	684 (0.91)
37	6	3	2	-	50	4	2569 (0.56)
50	39	0	25	-	50	5	5780 (0.92)
44	49	4	36	-	50	15	4835 (0.88)
1	6	4	37	-	50	30	123 (0.99)
68	3	1	11	-	50	1	4677 (0.55)
22	2	0	39	-	50	1	1743 (0.63)
98	27	4	76	-	50	21	10370 (0.85)
59	21	4	60	-	50	17	6240 (0.85)
53	4	0	62	-	50	1	4837 (0.73)
69	62	4	58	-	50	15	7504 (0.87)
33	32	4	16	-	50	23	3578 (0.87)
47	19	3	25	-	50	18	4801 (0.82)
27	63	3	12	-	50	12	3130 (0.93)
2	33	0	27	-	50	23	245 (0.98)
68	16	0	10	-	50	2	7787 (0.92)
53	24	4	27	-	50	23	5677 (0.86)
69	10	2	28	-	50	7	5507 (0.64)
98	46	1	52	-	50	14	10427 (0.85)
25	13	0	64	-	50	6	2799 (0.90)
79	38	4	11	-	50	22	8431 (0.85)
68	48	1	1	-	50	10	7250 (0.85)
53	34	0	79	-	50	7	6103 (0.92)
15	53	4	67	-	50	16	1759 (0.94)
99	39	3	71	-	50	24	11044 (0.89)
69	23	0	26	-	50	4	8015 (0.93)
