bw	ftp	rftp	web	qlen	maxd	avgd	rate
--------------------------------------------------------------------
82	53	0	79	1000	145	5	9068 (0.88)
8	44	3	78	1000	844	46	973 (0.97)
80	46	3	58	1000	149	32	9082 (0.91)
48	3	1	19	1000	248	18	4319 (0.72)
97	6	0	20	1000	124	3	11509 (0.95)
23	9	3	37	1000	320	35	2554 (0.89)
65	33	0	51	1000	183	6	6960 (0.86)
55	3	2	66	1000	216	21	4783 (0.70)
7	23	4	27	1000	557	37	803 (0.92)
51	61	2	28	1000	233	28	5965 (0.94)
69	9	2	3	1000	173	26	7398 (0.86)
24	35	2	34	1000	477	26	2778 (0.93)
43	21	0	73	1000	273	6	4616 (0.86)
37	44	1	77	1000	316	20	4274 (0.92)
19	3	0	24	1000	178	4	2091 (0.88)
95	47	2	4	1000	126	32	10776 (0.91)
13	47	3	54	1000	786	41	1558 (0.96)
13	42	4	53	1000	761	41	1537 (0.95)
65	11	3	8	1000	183	30	6900 (0.85)
97	22	1	65	1000	124	36	11252 (0.93)
77	7	1	68	1000	155	23	7739 (0.80)
10	39	4	47	1000	774	42	1190 (0.95)
96	1	2	70	1000	118	8	5688 (0.47)
56	59	3	37	1000	212	30	6523 (0.93)
12	49	1	54	1000	876	38	1459 (0.97)
21	35	2	0	1000	525	33	2442 (0.93)
57	31	2	13	1000	209	32	6409 (0.90)
36	26	4	42	1000	327	30	3993 (0.89)
3	36	3	6	1000	864	44	345 (0.92)
85	53	2	38	1000	140	32	9657 (0.91)
65	60	0	19	1000	184	6	7177 (0.88)
3	59	0	11	1000	1220	50	373 (1.00)
77	34	0	77	1000	155	5	8333 (0.87)
91	45	4	20	1000	131	35	10228 (0.90)
53	37	1	4	1000	225	31	6112 (0.92)
35	10	2	55	1000	290	38	3864 (0.88)
100	54	3	27	1000	119	33	11479 (0.92)
9	59	0	33	1000	735	32	1120 (1.00)
38	63	2	47	1000	310	30	4450 (0.94)
81	9	0	25	1000	148	4	9687 (0.96)
65	4	0	15	1000	184	3	7621 (0.94)
10	58	4	33	1000	773	41	1206 (0.96)
99	48	0	50	1000	121	3	10783 (0.87)
78	38	4	36	1000	153	29	8714 (0.89)
44	6	1	12	1000	267	24	4329 (0.79)
45	26	4	60	1000	262	29	4989 (0.89)
76	48	3	18	1000	157	28	8659 (0.91)
62	3	2	49	1000	192	19	5477 (0.71)
13	38	1	50	1000	764	34	1552 (0.96)
7	37	0	80	1000	807	40	870 (0.99)
9	46	0	4	1000	760	28	1121 (1.00)
17	3	4	36	1000	240	26	1582 (0.74)
57	6	3	76	1000	208	17	5783 (0.81)
33	21	0	75	1000	351	8	3601 (0.87)
94	55	4	40	1000	127	30	10790 (0.92)
99	15	3	46	1000	121	43	10277 (0.83)
81	23	2	77	1000	147	31	9364 (0.92)
39	35	4	49	1000	300	30	4404 (0.90)
8	39	3	44	1000	830	47	958 (0.96)
16	32	0	77	1000	678	24	1946 (0.97)
69	61	3	79	1000	172	26	7966 (0.92)
80	57	2	73	1000	149	26	9090 (0.91)
88	53	4	2	1000	136	33	10208 (0.93)
45	60	0	26	1000	264	8	5140 (0.91)
18	18	0	18	1000	559	12	2050 (0.91)
37	6	4	3	1000	317	23	3507 (0.76)
89	18	0	18	1000	134	4	10401 (0.93)
31	45	1	13	1000	381	24	3571 (0.92)
58	39	1	77	1000	203	26	6586 (0.91)
88	7	3	15	1000	136	23	8894 (0.81)
83	44	1	59	1000	143	33	9532 (0.92)
72	25	3	69	1000	165	28	8058 (0.90)
54	58	2	55	1000	220	29	6234 (0.92)
44	64	4	48	1000	268	31	5157 (0.94)
34	26	4	25	1000	346	34	3719 (0.88)
61	1	1	28	1000	185	15	4773 (0.63)
59	25	1	57	1000	201	29	6721 (0.91)
41	45	3	17	1000	289	29	4787 (0.93)
79	34	3	17	1000	151	30	8638 (0.87)
17	31	0	71	1000	642	21	2038 (0.96)
67	51	1	58	1000	178	23	7636 (0.91)
52	47	2	7	1000	229	27	6087 (0.94)
54	42	2	33	1000	219	27	6098 (0.90)
90	11	2	45	1000	132	28	8869 (0.79)
89	60	3	10	1000	134	31	10277 (0.92)
49	12	0	39	1000	242	6	5629 (0.92)
90	54	2	1	1000	133	31	10417 (0.93)
59	48	0	42	1000	201	6	6512 (0.88)
33	32	0	17	1000	357	8	3694 (0.90)
58	61	2	50	1000	205	28	6687 (0.92)
90	40	3	58	1000	132	29	9958 (0.89)
32	43	2	13	1000	370	26	3732 (0.93)
6	62	4	17	1000	874	44	713 (0.95)
22	3	4	35	1000	209	23	1931 (0.70)
85	41	3	27	1000	140	35	9650 (0.91)
43	21	0	74	1000	273	8	4768 (0.89)
47	46	1	0	1000	254	24	5518 (0.94)
93	54	1	16	1000	129	29	10858 (0.93)
25	32	3	54	1000	439	26	2846 (0.91)
8	28	2	12	1000	673	37	938 (0.94)
21	62	1	10	1000	549	24	2538 (0.97)
19	50	2	69	1000	588	30	2276 (0.96)
63	12	1	12	1000	189	29	7328 (0.93)
72	36	2	9	1000	166	34	8027 (0.89)
18	62	0	51	1000	631	24	2238 (0.99)
38	46	3	36	1000	311	26	4408 (0.93)
22	27	1	38	1000	519	24	2520 (0.92)
64	44	4	69	1000	185	30	7269 (0.91)
45	41	1	23	1000	263	23	5196 (0.92)
13	36	3	50	1000	708	38	1539 (0.95)
34	55	2	12	1000	348	30	3981 (0.94)
46	21	3	44	1000	257	31	5189 (0.90)
29	62	4	66	1000	398	33	3430 (0.95)
47	59	1	14	1000	253	27	5416 (0.92)
88	18	3	47	1000	136	32	10262 (0.93)
66	47	0	20	1000	181	6	7195 (0.87)
15	9	0	30	1000	359	7	1612 (0.86)
46	55	2	63	1000	257	29	5368 (0.93)
26	50	2	3	1000	452	28	3057 (0.94)
59	24	3	15	1000	202	28	6832 (0.93)
