bw	ftp	rftp	web	qlen	maxd	avgd	rate
--------------------------------------------------------------------
61	20	0	48	34	6	3	7409 (0.97)
34	30	2	68	34	12	6	4073 (0.96)
31	57	1	80	34	13	7	3817 (0.98)
95	48	0	40	34	4	2	11388 (0.96)
32	20	3	6	34	12	8	3631 (0.91)
17	25	0	20	34	23	20	2124 (1.00)
83	29	3	4	34	5	2	9319 (0.90)
6	9	2	7	34	66	26	717 (0.96)
38	18	4	24	34	10	6	4271 (0.90)
46	30	0	57	34	9	6	5721 (1.00)
44	44	0	36	34	9	7	5488 (1.00)
7	56	4	11	34	57	26	862 (0.99)
53	26	3	4	34	7	4	6049 (0.91)
97	14	1	30	34	4	2	11055 (0.91)
9	10	1	41	34	44	17	1079 (0.96)
34	51	3	9	34	12	7	4012 (0.94)
87	33	0	2	34	5	2	9893 (0.91)
47	29	1	30	34	8	4	5674 (0.97)
81	12	2	21	34	5	2	8760 (0.87)
59	45	1	42	34	7	4	7189 (0.97)
97	32	3	74	34	4	2	11248 (0.93)
35	34	1	1	34	11	6	4197 (0.96)
60	40	3	42	34	7	4	7124 (0.95)
62	22	0	63	34	6	3	7580 (0.98)
36	48	4	14	34	11	7	4211 (0.94)
72	14	0	18	34	6	2	8308 (0.92)
42	63	3	30	34	9	6	5045 (0.96)
72	7	1	23	34	6	2	7943 (0.88)
59	32	1	36	34	7	3	7131 (0.97)
74	37	3	16	34	5	3	8594 (0.93)
72	63	3	18	34	6	3	8579 (0.95)
31	48	1	8	34	13	7	3790 (0.98)
76	28	0	29	34	5	2	9029 (0.95)
15	4	2	73	34	26	8	1589 (0.85)
2	44	0	21	34	196	140	250 (1.00)
80	33	4	56	34	5	3	9284 (0.93)
68	61	4	58	34	6	3	7987 (0.94)
27	64	3	69	34	15	8	3272 (0.97)
75	46	0	20	34	5	3	8986 (0.96)
38	27	1	15	34	10	6	4538 (0.96)
78	61	2	14	34	5	3	9321 (0.96)
38	60	4	32	34	10	6	4527 (0.95)
25	30	1	34	34	16	8	3042 (0.97)
13	42	1	24	34	30	15	1607 (0.99)
23	9	3	43	34	17	7	2524 (0.88)
31	37	0	64	34	13	11	3872 (1.00)
15	20	4	69	34	26	13	1790 (0.95)
27	50	2	39	34	15	9	3252 (0.96)
1	27	1	65	34	392	189	125 (1.00)
43	46	1	28	34	9	5	5226 (0.97)
99	42	2	31	34	4	2	11614 (0.94)
27	47	1	48	34	15	8	3327 (0.99)
53	29	0	60	34	7	5	6562 (0.99)
24	34	0	14	34	17	13	2998 (1.00)
52	57	1	25	34	8	5	6367 (0.98)
61	27	4	22	34	6	4	6945 (0.91)
54	11	3	7	34	7	3	5670 (0.84)
11	44	2	31	34	36	18	1344 (0.98)
62	60	2	50	34	6	4	7429 (0.96)
41	61	4	58	34	10	6	4885 (0.95)
98	36	4	78	34	4	2	11302 (0.92)
2	62	4	77	34	198	93	250 (1.00)
54	56	3	51	34	7	5	6460 (0.96)
86	30	1	46	34	5	2	10271 (0.96)
26	63	0	37	34	15	13	3248 (1.00)
52	26	0	76	34	8	5	6449 (0.99)
18	6	3	56	34	22	10	1910 (0.85)
77	23	3	43	34	5	3	8769 (0.91)
4	12	0	65	34	98	59	500 (1.00)
54	62	3	51	34	7	5	6499 (0.96)
43	10	0	0	34	9	3	5022 (0.93)
18	25	1	75	34	22	11	2188 (0.97)
3	58	4	71	34	132	57	375 (1.00)
24	31	4	45	34	17	10	2831 (0.94)
85	53	3	5	34	5	3	10002 (0.94)
66	24	3	27	34	6	3	7566 (0.92)
92	35	4	43	34	4	2	10576 (0.92)
82	2	1	5	34	5	1	6784 (0.66)
55	62	2	74	34	7	4	6694 (0.97)
75	50	2	52	34	5	3	9042 (0.96)
46	46	0	13	34	9	5	5665 (0.99)
79	22	3	4	34	5	2	8697 (0.88)
81	30	1	17	34	5	2	9621 (0.95)
50	52	4	12	34	8	5	5857 (0.94)
37	11	0	66	34	11	7	4572 (0.99)
32	22	0	16	34	12	9	3980 (1.00)
61	30	0	31	34	6	4	7426 (0.97)
6	35	2	13	34	66	29	745 (0.99)
80	3	1	47	34	5	1	7784 (0.78)
19	37	2	38	34	21	11	2271 (0.96)
27	27	3	74	34	15	8	3223 (0.96)
59	39	3	36	34	7	4	6980 (0.95)
76	48	4	76	34	5	3	9023 (0.95)
91	22	2	37	34	4	2	10342 (0.91)
76	55	2	47	34	5	3	9161 (0.96)
91	1	4	58	34	4	0	3589 (0.32)
13	21	3	36	34	30	13	1533 (0.94)
17	37	1	34	34	23	14	2073 (0.98)
6	46	1	63	34	66	32	749 (1.00)
37	20	0	35	34	11	7	4595 (0.99)
44	52	4	31	34	9	6	5221 (0.95)
13	43	2	22	34	30	14	1575 (0.97)
79	57	3	17	34	5	3	9382 (0.95)
56	50	1	18	34	7	4	6824 (0.97)
14	51	1	0	34	28	15	1729 (0.99)
13	5	1	57	34	30	9	1449 (0.89)
38	36	4	34	34	10	7	4481 (0.94)
52	33	3	34	34	8	4	6134 (0.94)
63	45	1	16	34	6	3	7639 (0.97)
5	11	2	59	34	78	32	617 (0.99)
71	57	1	46	34	6	3	8678 (0.98)
52	63	1	7	34	8	5	6377 (0.98)
17	58	0	20	34	23	21	2124 (1.00)
82	53	1	54	34	5	3	9992 (0.97)
41	32	3	24	34	10	6	4804 (0.94)
81	46	4	1	34	5	3	9418 (0.93)
16	19	0	40	34	25	20	1999 (1.00)
25	22	0	52	34	16	13	3123 (1.00)
28	20	3	56	34	14	7	3286 (0.94)
90	45	4	13	34	4	3	10266 (0.91)
