bw	ftp	rftp	web	qlen	maxd	avgd	rate
--------------------------------------------------------------------
17	48	2	31	213	148	75	2094 (0.99)
34	10	3	18	213	75	31	3763 (0.89)
49	54	2	77	213	52	26	5881 (0.96)
89	63	0	47	213	29	11	10658 (0.96)
80	35	3	47	213	32	12	9222 (0.92)
26	36	0	44	213	97	76	3228 (0.99)
86	32	3	15	213	30	12	9876 (0.92)
34	8	2	45	213	75	26	3704 (0.87)
42	46	3	43	213	60	29	4947 (0.94)
52	38	2	54	213	49	23	6200 (0.95)
64	48	4	71	213	40	21	7525 (0.94)
91	53	0	57	213	28	12	10952 (0.96)
38	47	0	33	213	67	46	4708 (0.99)
89	57	4	31	213	29	14	10354 (0.93)
45	39	3	8	213	57	28	5249 (0.93)
57	49	2	1	213	45	23	6793 (0.95)
94	21	3	56	213	27	10	10523 (0.90)
60	30	2	70	213	42	18	7004 (0.93)
3	54	2	60	213	845	403	374 (1.00)
83	9	1	79	213	31	7	8624 (0.83)
54	12	0	41	213	47	21	6447 (0.96)
81	39	2	62	213	31	16	9560 (0.94)
43	11	2	68	213	59	21	4748 (0.88)
38	56	4	4	213	67	33	4372 (0.92)
34	32	2	56	213	75	33	4045 (0.95)
14	57	0	19	213	182	162	1745 (1.00)
96	43	1	33	213	27	13	11612 (0.97)
35	22	1	26	213	73	31	4259 (0.97)
93	11	4	26	213	27	10	9447 (0.81)
66	33	1	11	213	39	19	8019 (0.97)
37	59	2	60	213	69	34	4448 (0.96)
57	52	1	32	213	45	25	7027 (0.99)
80	12	3	25	213	32	11	8338 (0.83)
78	36	3	33	213	33	15	9034 (0.93)
65	7	3	45	213	39	12	6628 (0.82)
10	46	4	71	213	249	112	1242 (0.99)
72	44	3	42	213	35	17	8466 (0.94)
21	3	0	51	213	119	43	2496 (0.95)
39	5	3	25	213	65	24	3802 (0.78)
52	58	0	15	213	49	24	6313 (0.97)
2	13	0	56	213	1093	683	249 (1.00)
42	39	2	10	213	61	31	5015 (0.96)
39	15	2	76	213	65	25	4463 (0.92)
74	2	3	71	213	34	2	4734 (0.51)
77	35	3	26	213	33	16	8952 (0.93)
41	59	0	75	213	62	49	5093 (0.99)
76	60	0	1	213	33	12	8605 (0.91)
72	41	3	54	213	35	16	8413 (0.93)
49	36	4	17	213	52	25	5593 (0.91)
71	20	1	25	213	36	16	8300 (0.94)
95	13	1	19	213	27	8	10758 (0.91)
95	58	1	43	213	27	13	11567 (0.97)
42	61	4	64	213	61	33	4974 (0.95)
94	51	3	41	213	27	14	10937 (0.93)
55	31	2	20	213	46	22	6592 (0.96)
52	43	2	56	213	49	26	6234 (0.96)
70	25	1	45	213	36	16	8395 (0.96)
46	47	1	52	213	55	30	5584 (0.97)
24	4	0	69	213	106	40	2830 (0.94)
88	48	1	80	213	29	12	10576 (0.96)
74	52	2	35	213	34	18	8831 (0.95)
5	9	4	52	213	459	178	609 (0.98)
65	4	1	72	213	39	7	5672 (0.70)
12	29	2	12	213	211	98	1478 (0.99)
24	59	1	40	213	106	55	2955 (0.99)
79	18	0	51	213	32	13	9292 (0.94)
14	33	2	65	213	176	89	1724 (0.99)
66	10	2	74	213	39	12	6997 (0.85)
51	62	4	78	213	50	24	6026 (0.95)
25	22	3	30	213	101	46	2908 (0.93)
53	7	4	53	213	48	16	4924 (0.74)
58	41	4	22	213	44	21	6676 (0.92)
63	63	0	61	213	40	25	7774 (0.99)
61	31	0	62	213	42	25	7489 (0.98)
56	51	4	31	213	45	20	6458 (0.92)
18	19	3	79	213	139	54	2108 (0.94)
81	48	0	56	213	31	15	9841 (0.97)
13	16	3	79	213	190	72	1540 (0.95)
61	8	4	54	213	42	14	6246 (0.82)
36	56	1	27	213	71	40	4441 (0.99)
92	18	2	55	213	28	9	10372 (0.90)
33	59	4	70	213	77	41	3927 (0.95)
93	34	4	54	213	27	13	10651 (0.92)
73	6	4	15	213	35	9	6285 (0.69)
65	11	4	31	213	39	14	6796 (0.84)
95	59	2	40	213	27	12	11243 (0.95)
43	30	2	44	213	59	28	5071 (0.94)
84	63	1	59	213	30	15	10209 (0.97)
20	48	1	62	213	127	68	2462 (0.98)
42	11	1	71	213	61	19	4763 (0.91)
68	27	4	13	213	37	18	7692 (0.90)
68	18	1	80	213	37	14	7809 (0.92)
56	36	4	49	213	45	21	6448 (0.92)
47	26	0	39	213	54	30	5785 (0.98)
58	18	2	44	213	44	16	6612 (0.91)
21	52	1	23	213	121	65	2585 (0.98)
95	57	3	29	213	27	12	11064 (0.93)
27	58	0	19	213	94	72	3358 (0.99)
62	57	1	69	213	41	23	7589 (0.98)
54	15	0	79	213	47	22	6525 (0.97)
96	61	1	58	213	27	15	11729 (0.98)
23	31	2	13	213	110	54	2799 (0.97)
29	57	1	48	213	87	46	3543 (0.98)
89	21	0	30	213	29	9	10398 (0.93)
96	5	3	20	213	26	6	7381 (0.62)
20	63	3	73	213	127	68	2445 (0.98)
60	40	3	39	213	42	22	7026 (0.94)
86	64	3	0	213	30	13	9919 (0.92)
7	25	2	38	213	350	172	868 (0.99)
10	24	1	73	213	252	114	1239 (0.99)
86	44	3	41	213	30	15	10036 (0.93)
9	59	1	56	213	282	143	1120 (1.00)
12	41	2	73	213	209	100	1488 (0.99)
25	24	0	5	213	102	62	3086 (0.99)
40	63	1	34	213	64	35	4907 (0.98)
16	7	4	39	213	158	53	1609 (0.80)
26	3	1	6	213	98	34	2522 (0.78)
13	43	4	37	213	192	92	1596 (0.98)
15	12	2	78	213	167	54	1746 (0.93)
61	59	2	70	213	42	23	7349 (0.96)
