bw	ftp	rftp	web	qlen	maxd	avgd	rate
--------------------------------------------------------------------
75	36	3	55	392	62	30	8851 (0.94)
26	1	2	74	392	173	20	1969 (0.61)
40	52	0	58	392	117	99	4981 (1.00)
20	54	4	6	392	234	109	2476 (0.99)
96	62	2	56	392	49	26	11746 (0.98)
98	57	4	26	392	48	25	11579 (0.95)
29	15	4	70	392	159	49	3363 (0.93)
62	51	2	77	392	76	38	7606 (0.98)
2	41	2	9	392	2156	1651	250 (1.00)
99	41	0	11	392	47	22	12094 (0.98)
47	6	2	66	392	100	30	4737 (0.81)
34	10	3	41	392	137	44	3649 (0.86)
50	27	2	53	392	93	38	6096 (0.98)
79	12	0	21	392	59	32	9704 (0.98)
69	62	2	15	392	68	34	8532 (0.99)
33	64	2	19	392	142	72	4094 (0.99)
28	17	2	3	392	167	57	3298 (0.94)
84	62	1	25	392	56	31	10408 (0.99)
28	47	3	12	392	167	78	3478 (0.99)
12	36	2	27	392	383	195	1490 (0.99)
74	62	4	40	392	63	32	8915 (0.96)
24	52	1	50	392	195	110	2982 (0.99)
39	45	4	43	392	120	51	4787 (0.98)
47	55	0	26	392	100	78	5847 (1.00)
51	5	2	36	392	92	31	5233 (0.82)
33	42	3	12	392	142	73	4084 (0.99)
48	14	3	22	392	98	36	5388 (0.90)
17	28	3	52	392	270	131	2105 (0.99)
68	19	4	42	392	69	31	7641 (0.90)
98	36	1	31	392	48	23	12061 (0.98)
78	43	4	40	392	60	30	9174 (0.94)
82	53	2	52	392	57	29	10055 (0.98)
3	17	4	72	392	1278	681	374 (1.00)
21	57	4	18	392	223	105	2605 (0.99)
4	20	1	28	392	1103	752	499 (1.00)
14	42	1	21	392	330	173	1739 (0.99)
12	4	4	71	392	377	86	1350 (0.90)
55	20	2	30	392	85	37	6373 (0.93)
65	37	3	59	392	72	33	7874 (0.97)
5	47	1	59	392	845	575	624 (1.00)
6	3	0	38	392	757	433	748 (1.00)
59	2	2	6	392	80	28	5686 (0.77)
30	56	2	31	392	153	74	3723 (0.99)
62	57	0	47	392	76	58	7709 (0.99)
13	40	4	78	392	350	168	1618 (1.00)
97	7	1	57	392	48	15	10735 (0.89)
86	1	2	57	392	54	8	6259 (0.58)
39	13	4	32	392	120	47	4060 (0.83)
62	20	1	31	392	76	31	7580 (0.98)
82	62	3	58	392	57	26	9859 (0.96)
31	64	4	20	392	150	74	3850 (0.99)
40	29	4	52	392	116	53	4797 (0.96)
39	35	3	9	392	120	56	4795 (0.98)
40	33	2	47	392	116	49	4933 (0.99)
90	61	2	14	392	52	25	11065 (0.98)
42	11	3	22	392	112	37	4447 (0.85)
42	64	3	55	392	112	55	5192 (0.99)
100	48	2	10	392	47	25	12248 (0.98)
58	8	3	26	392	81	37	6254 (0.86)
89	37	3	76	392	53	26	10554 (0.95)
22	32	1	32	392	212	103	2719 (0.99)
2	11	2	28	392	2097	1247	250 (1.00)
73	15	3	21	392	64	26	8224 (0.90)
98	58	3	12	392	48	22	11579 (0.95)
81	36	0	0	392	58	27	9842 (0.97)
74	5	0	6	392	63	36	9065 (0.98)
57	16	1	58	392	82	32	6694 (0.94)
20	3	0	17	392	232	157	2472 (0.99)
92	1	3	61	392	50	5	4736 (0.41)
40	22	3	61	392	116	48	4810 (0.96)
37	18	3	37	392	126	51	4378 (0.95)
74	50	4	74	392	63	32	8794 (0.95)
10	59	3	26	392	454	251	1248 (1.00)
65	23	4	55	392	72	32	7460 (0.92)
59	55	2	14	392	80	39	7286 (0.99)
82	56	1	63	392	57	31	10138 (0.99)
17	2	3	53	392	257	48	1620 (0.76)
69	51	1	72	392	67	31	8496 (0.99)
36	18	0	47	392	129	99	4467 (0.99)
98	25	1	48	392	48	21	11961 (0.98)
30	50	1	31	392	156	79	3723 (0.99)
43	1	0	9	392	109	54	5278 (0.98)
88	39	0	39	392	53	34	10906 (0.99)
34	33	2	17	392	138	65	4209 (0.99)
99	33	3	7	392	47	21	11490 (0.93)
54	57	4	34	392	87	38	6526 (0.97)
53	57	2	69	392	88	47	6558 (0.99)
58	9	4	44	392	81	32	5924 (0.82)
63	36	1	50	392	74	38	7796 (0.99)
99	52	0	18	392	47	25	12171 (0.98)
62	64	2	60	392	75	38	7683 (0.99)
21	49	2	20	392	222	115	2597 (0.99)
51	17	3	3	392	92	43	5822 (0.91)
58	11	2	71	392	81	27	6145 (0.85)
32	3	4	25	392	146	37	3028 (0.76)
56	43	0	31	392	84	62	6955 (0.99)
100	61	2	66	392	47	23	12213 (0.98)
69	23	3	3	392	68	30	8096 (0.94)
30	7	4	70	392	156	51	3123 (0.83)
51	46	1	23	392	91	51	6320 (0.99)
6	50	0	13	392	773	691	749 (1.00)
53	10	2	20	392	88	32	5781 (0.87)
83	63	0	76	392	56	38	10318 (0.99)
94	1	3	3	392	48	8	5698 (0.48)
28	39	4	26	392	166	74	3461 (0.99)
56	11	1	9	392	84	32	6050 (0.86)
26	56	3	69	392	177	83	3230 (0.99)
34	6	1	63	392	138	34	3651 (0.86)
87	23	4	75	392	54	23	9832 (0.90)
21	44	0	17	392	223	191	2619 (1.00)
26	53	2	8	392	180	89	3226 (0.99)
5	31	0	77	392	833	608	624 (1.00)
40	29	0	6	392	117	79	4964 (0.99)
8	29	1	28	392	572	369	999 (1.00)
20	32	4	12	392	232	102	2459 (0.98)
69	14	0	74	392	68	46	8531 (0.99)
36	14	3	7	392	129	47	4181 (0.93)
69	43	1	30	392	68	34	8538 (0.99)
63	8	4	28	392	74	33	6651 (0.84)
58	27	4	53	392	81	35	6587 (0.91)
