bw	ftp	rftp	web	qlen	maxd	avgd	rate
--------------------------------------------------------------------
18	46	1	38	-	50	16	2136 (0.95)
59	52	3	58	-	50	19	6701 (0.91)
29	19	3	57	-	50	18	3002 (0.83)
53	33	0	53	-	50	5	6033 (0.91)
95	3	4	31	-	50	8	6511 (0.55)
99	28	4	33	-	50	25	10769 (0.87)
1	12	3	66	-	50	33	124 (0.99)
56	61	0	50	-	50	5	6225 (0.89)
59	55	0	52	-	50	5	6436 (0.87)
29	12	0	0	-	50	3	3319 (0.92)
5	46	2	43	-	50	24	597 (0.96)
53	44	1	34	-	50	13	6187 (0.93)
58	19	1	80	-	50	13	6507 (0.90)
71	17	3	19	-	50	21	7671 (0.86)
68	40	4	53	-	50	21	7418 (0.87)
23	17	3	1	-	50	24	2481 (0.86)
40	4	0	1	-	50	2	4305 (0.86)
53	58	2	15	-	50	15	6181 (0.93)
57	8	3	29	-	50	13	5173 (0.73)
79	3	1	69	-	50	3	5851 (0.59)
46	42	0	74	-	50	5	5124 (0.89)
30	42	3	9	-	50	17	3401 (0.91)
94	26	0	31	-	50	3	11064 (0.94)
51	2	0	71	-	50	1	4199 (0.66)
83	9	4	58	-	50	12	6551 (0.63)
39	5	2	4	-	50	11	3254 (0.67)
66	30	2	24	-	50	21	7208 (0.87)
8	16	1	6	-	50	17	908 (0.91)
25	47	0	2	-	50	6	2936 (0.94)
8	14	3	9	-	50	21	876 (0.88)
60	14	2	2	-	50	19	6744 (0.90)
20	5	0	9	-	50	3	2234 (0.89)
64	51	0	8	-	50	4	6988 (0.87)
3	62	2	48	-	50	28	366 (0.98)
80	27	3	44	-	50	23	8514 (0.85)
6	61	2	17	-	50	23	713 (0.95)
16	54	3	76	-	50	21	1906 (0.95)
81	9	2	9	-	50	13	7767 (0.77)
86	39	2	22	-	50	17	9601 (0.89)
63	5	4	46	-	50	11	4682 (0.59)
1	4	1	72	-	50	32	124 (1.00)
90	49	3	9	-	50	21	9858 (0.88)
97	62	4	59	-	50	21	10976 (0.91)
40	21	3	80	-	50	19	4159 (0.83)
64	31	3	35	-	50	21	6955 (0.87)
11	25	0	29	-	50	10	1316 (0.96)
24	61	4	73	-	50	20	2841 (0.95)
54	9	2	15	-	50	15	5184 (0.77)
31	46	1	16	-	50	12	3619 (0.93)
51	28	4	7	-	50	20	5296 (0.83)
89	17	3	65	-	50	18	8812 (0.79)
59	18	4	29	-	50	20	5782 (0.78)
87	45	3	5	-	50	21	9175 (0.84)
89	16	3	20	-	50	17	8701 (0.78)
54	51	3	18	-	50	19	6199 (0.92)
73	14	0	38	-	50	3	8621 (0.94)
14	9	0	64	-	50	9	1521 (0.87)
9	60	2	46	-	50	19	1087 (0.97)
38	24	3	65	-	50	20	4142 (0.87)
100	16	1	45	-	50	15	11010 (0.88)
84	1	4	47	-	50	3	4307 (0.41)
81	34	4	56	-	50	21	8365 (0.83)
97	35	1	8	-	50	9	10613 (0.88)
46	6	1	53	-	50	8	4217 (0.73)
62	9	1	44	-	50	10	5523 (0.71)
23	49	1	59	-	50	16	2716 (0.94)
38	29	1	40	-	50	13	4272 (0.90)
84	14	1	21	-	50	16	9184 (0.87)
80	21	4	27	-	50	22	8318 (0.83)
58	21	2	0	-	50	25	6425 (0.89)
32	14	4	25	-	50	20	3540 (0.89)
98	64	2	11	-	50	17	11412 (0.93)
10	23	1	26	-	50	19	1154 (0.92)
57	57	0	48	-	50	5	6270 (0.88)
69	10	3	80	-	50	13	5793 (0.67)
48	39	4	33	-	50	19	5323 (0.89)
84	3	4	32	-	50	10	5901 (0.56)
55	60	0	67	-	50	5	6133 (0.89)
81	50	3	3	-	50	17	8896 (0.88)
19	34	2	61	-	50	19	2190 (0.92)
95	44	3	16	-	50	20	10002 (0.84)
76	32	3	76	-	50	19	8082 (0.85)
71	47	4	39	-	50	22	7857 (0.89)
89	8	3	49	-	50	16	8879 (0.80)
7	12	2	26	-	50	18	765 (0.87)
30	40	2	38	-	50	15	3447 (0.92)
73	55	4	6	-	50	20	8274 (0.91)
88	21	1	79	-	50	19	9987 (0.91)
80	32	4	33	-	50	21	8478 (0.85)
41	17	4	77	-	50	19	4252 (0.83)
89	37	1	62	-	50	12	10023 (0.90)
20	58	0	57	-	50	11	2440 (0.98)
33	3	1	76	-	50	8	2586 (0.63)
70	8	3	23	-	50	13	6074 (0.69)
87	15	1	70	-	50	11	9803 (0.90)
78	58	0	76	-	50	4	8717 (0.89)
44	18	3	78	-	50	21	4794 (0.87)
18	53	0	30	-	50	11	2200 (0.98)
7	45	3	79	-	50	25	851 (0.97)
100	16	2	44	-	50	20	10628 (0.85)
57	14	2	0	-	50	16	5739 (0.81)
91	36	1	53	-	50	11	10468 (0.92)
51	7	0	30	-	50	2	5726 (0.90)
9	19	0	1	-	50	7	1075 (0.96)
87	40	2	24	-	50	21	9619 (0.88)
40	48	0	14	-	50	4	4479 (0.90)
25	64	2	1	-	50	22	2969 (0.95)
35	43	4	54	-	50	20	3899 (0.89)
98	30	0	6	-	50	3	11600 (0.95)
19	46	3	72	-	50	22	2227 (0.94)
34	22	0	63	-	50	5	3861 (0.91)
28	26	4	8	-	50	23	3000 (0.86)
9	46	0	29	-	50	15	1112 (0.99)
45	19	1	25	-	50	15	4988 (0.89)
61	41	1	11	-	50	13	7129 (0.93)
26	43	2	10	-	50	17	3048 (0.94)
79	16	4	60	-	50	17	7446 (0.75)
30	46	0	64	-	50	6	3466 (0.92)
37	50	2	27	-	50	14	4344 (0.94)
51	52	3	56	-	50	16	5807 (0.91)
