bw	ftp	rftp	web	qlen	maxd	avgd	rate
--------------------------------------------------------------------
17	43	2	11	1000	662	18	1619 (0.76)
5	24	3	76	1000	488	31	580 (0.93)
44	18	4	80	1000	264	6	3740 (0.68)
96	58	3	5	1000	125	4	8645 (0.72)
92	12	4	78	1000	129	1	6221 (0.54)
97	34	2	69	1000	123	3	8792 (0.73)
80	9	0	44	1000	149	0	6263 (0.63)
88	64	2	17	1000	136	4	8785 (0.80)
100	6	3	43	1000	119	0	5298 (0.42)
47	52	0	3	1000	253	7	5293 (0.90)
46	42	4	71	1000	256	7	4277 (0.74)
26	58	1	61	1000	437	12	2654 (0.82)
75	27	3	80	1000	158	4	6782 (0.72)
77	9	4	46	1000	155	1	4870 (0.51)
45	23	2	63	1000	260	6	4125 (0.73)
8	61	1	15	1000	739	29	906 (0.91)
83	52	0	36	1000	144	2	9126 (0.88)
92	60	4	67	1000	130	6	8763 (0.76)
42	24	1	52	1000	279	6	3976 (0.76)
74	63	1	6	1000	162	7	7677 (0.83)
54	9	4	44	1000	215	3	3930 (0.58)
60	19	3	53	1000	197	4	5035 (0.67)
91	14	3	63	1000	131	1	7183 (0.63)
59	60	2	32	1000	202	7	5930 (0.80)
56	29	3	13	1000	213	4	5204 (0.74)
97	54	0	63	1000	123	3	10583 (0.87)
37	6	4	33	1000	233	2	2250 (0.49)
24	3	3	70	1000	339	2	1292 (0.43)
72	24	0	25	1000	166	3	7218 (0.80)
71	5	3	74	1000	166	3	3859 (0.43)
68	1	2	28	1000	174	0	1629 (0.19)
95	54	4	13	1000	126	4	8901 (0.75)
17	45	1	34	1000	589	20	1730 (0.81)
18	31	0	36	1000	500	14	1966 (0.87)
1	27	2	43	1000	960	62	123 (0.98)
74	47	1	25	1000	162	6	7462 (0.81)
74	17	2	16	1000	161	3	6319 (0.68)
70	4	1	72	1000	156	3	3831 (0.44)
49	47	2	75	1000	239	7	4677 (0.76)
27	22	1	62	1000	419	11	2547 (0.75)
64	34	2	78	1000	184	6	5683 (0.71)
18	42	4	54	1000	608	21	1766 (0.78)
22	54	1	62	1000	502	19	2317 (0.84)
82	32	0	24	1000	146	2	8593 (0.84)
19	50	4	71	1000	563	25	1875 (0.79)
94	37	3	37	1000	127	3	8656 (0.74)
43	24	4	38	1000	272	5	3871 (0.72)
76	62	3	78	1000	156	7	7162 (0.75)
71	43	4	4	1000	168	5	6463 (0.73)
22	54	2	54	1000	507	16	2105 (0.77)
91	8	2	43	1000	131	1	6349 (0.56)
70	43	2	0	1000	171	6	6676 (0.76)
27	48	1	78	1000	422	17	2779 (0.82)
3	27	4	56	1000	614	35	357 (0.95)
66	21	2	35	1000	181	3	5870 (0.71)
14	12	3	57	1000	349	11	1176 (0.67)
22	15	3	27	1000	340	7	1967 (0.72)
39	57	2	75	1000	298	9	3821 (0.78)
73	46	4	21	1000	164	4	6945 (0.76)
78	14	3	32	1000	153	1	6567 (0.67)
60	3	3	34	1000	197	0	3047 (0.41)
57	20	4	78	1000	207	7	4741 (0.67)
45	19	3	4	1000	265	4	3973 (0.71)
65	58	0	32	1000	183	6	7320 (0.90)
