bw	ftp	rftp	web	qlen	maxd	avgd	rate
--------------------------------------------------------------------
62	11	3	47	367	71	18	6222 (0.80)
58	54	0	72	367	76	42	7026 (0.97)
45	19	2	27	367	98	40	5000 (0.89)
22	19	3	3	367	200	83	2568 (0.93)
18	12	3	58	367	236	89	1962 (0.87)
61	12	3	78	367	72	18	5770 (0.76)
93	35	0	80	367	47	18	10599 (0.91)
10	41	0	16	367	437	361	1237 (0.99)
7	42	0	26	367	620	507	870 (0.99)
50	11	4	68	367	87	29	4893 (0.78)
7	2	1	18	367	602	203	768 (0.88)
7	60	3	49	367	621	299	865 (0.99)
73	56	2	69	367	60	26	8540 (0.94)
50	17	4	12	367	88	35	5138 (0.82)
98	50	3	42	367	45	17	10856 (0.89)
85	28	3	42	367	52	16	8978 (0.85)
93	39	2	12	367	47	18	10251 (0.88)
52	38	0	13	367	84	31	6113 (0.94)
8	3	4	16	367	537	174	783 (0.78)
76	19	2	75	367	58	16	7980 (0.84)
90	36	3	15	367	49	17	9699 (0.86)
16	46	0	76	367	271	211	1976 (0.99)
91	52	1	55	367	48	23	10664 (0.94)
9	10	0	44	367	470	312	1105 (0.98)
20	33	4	17	367	218	94	2260 (0.90)
81	45	4	39	367	54	25	9009 (0.89)
73	8	0	30	367	60	12	6870 (0.75)
66	5	2	72	367	66	6	4821 (0.58)
3	16	0	49	367	1306	913	373 (1.00)
44	59	1	52	367	100	53	5361 (0.97)
51	6	4	72	367	85	16	4547 (0.71)
67	33	4	24	367	66	33	7543 (0.90)
94	20	2	43	367	47	14	9801 (0.83)
92	29	0	59	367	48	17	10344 (0.90)
32	11	1	42	367	137	46	3650 (0.91)
76	16	1	23	367	58	15	8031 (0.85)
19	53	1	50	367	230	115	2318 (0.98)
90	52	2	19	367	49	22	10130 (0.90)
39	61	1	78	367	111	56	4684 (0.96)
13	29	1	74	367	324	135	1566 (0.96)
41	19	4	58	367	107	46	4521 (0.88)
49	18	4	35	367	90	35	5258 (0.86)
26	55	4	36	367	168	85	3040 (0.94)
91	12	3	45	367	48	11	8003 (0.70)
68	1	3	8	367	65	2	2536 (0.30)
26	16	1	47	367	168	54	3006 (0.92)
75	38	4	49	367	58	22	8332 (0.89)
15	13	2	53	367	287	95	1657 (0.88)
45	33	3	73	367	97	42	5062 (0.90)
83	39	2	20	367	53	25	9326 (0.90)
68	23	2	13	367	65	26	7362 (0.87)
41	58	2	80	367	106	53	4850 (0.95)
34	63	0	61	367	128	94	4169 (0.98)
45	28	3	77	367	98	39	5085 (0.90)
52	63	0	0	367	84	28	5883 (0.91)
63	6	1	63	367	70	14	5750 (0.73)
14	39	1	64	367	308	164	1708 (0.98)
15	26	1	9	367	293	120	1776 (0.95)
25	13	1	10	367	176	61	2787 (0.89)
33	10	0	9	367	133	56	3855 (0.93)
79	43	3	19	367	56	25	8812 (0.89)
78	21	0	60	367	56	18	8695 (0.89)
78	60	0	6	367	56	15	8553 (0.88)
35	54	2	52	367	125	59	4142 (0.95)
89	3	4	23	367	49	5	4689 (0.42)
43	35	4	57	367	102	49	4889 (0.91)
55	11	1	62	367	80	14	5065 (0.74)
13	39	1	64	367	332	187	1588 (0.98)
61	40	3	50	367	72	33	7041 (0.92)
52	38	1	13	367	84	39	6252 (0.96)
74	3	0	53	367	59	0	4879 (0.53)
51	16	2	52	367	86	28	5607 (0.88)
40	14	0	22	367	110	53	4715 (0.94)
60	25	4	73	367	73	29	6598 (0.88)
22	64	0	54	367	198	157	2713 (0.99)
82	27	2	18	367	54	21	8661 (0.84)
78	26	3	63	367	56	15	8203 (0.84)
51	49	2	54	367	86	41	6010 (0.94)
7	31	3	12	367	624	255	847 (0.97)
51	18	1	31	367	86	29	5894 (0.92)
23	46	4	24	367	191	97	2690 (0.94)
31	35	0	68	367	140	92	3788 (0.98)
22	27	3	75	367	194	81	2519 (0.92)
97	20	4	23	367	45	14	9209 (0.76)
3	61	4	28	367	1372	772	373 (1.00)
41	5	1	13	367	107	27	4069 (0.79)
68	44	2	10	367	65	30	7831 (0.92)
38	1	1	68	367	115	9	2324 (0.49)
54	51	0	42	367	81	44	6541 (0.97)
45	22	3	24	367	97	40	4965 (0.88)
82	22	2	15	367	54	19	8685 (0.85)
63	4	2	52	367	69	3	3668 (0.47)
66	13	0	4	367	67	15	6948 (0.84)
39	14	1	61	367	111	25	4119 (0.84)
17	61	2	3	367	258	122	2073 (0.98)
82	36	0	49	367	54	21	9487 (0.93)
63	1	0	45	367	70	0	3066 (0.39)
56	35	3	79	367	78	33	6435 (0.92)
75	15	1	35	367	58	13	7910 (0.84)
33	52	0	50	367	133	95	4034 (0.98)
41	20	2	50	367	107	42	4680 (0.91)
18	54	0	24	367	243	193	2217 (0.99)
93	16	3	74	367	47	8	8406 (0.72)
4	9	4	66	367	854	434	496 (0.99)
68	13	2	54	367	65	18	6817 (0.80)
47	17	3	39	367	93	36	5128 (0.87)
57	39	0	47	367	77	38	6830 (0.96)
54	63	2	8	367	81	43	6512 (0.96)
97	15	2	77	367	45	7	8638 (0.71)
3	9	2	60	367	1241	654	373 (0.99)
21	11	0	35	367	208	115	2537 (0.97)
54	64	4	76	367	81	41	6282 (0.93)
46	64	0	13	367	95	43	5521 (0.96)
63	42	4	74	367	69	31	7131 (0.91)
79	55	4	20	367	56	23	8738 (0.88)
71	4	2	67	367	62	2	4659 (0.52)
23	15	3	73	367	188	63	2540 (0.88)
65	5	0	78	367	67	8	5985 (0.74)
70	2	2	42	367	63	3	3776 (0.43)
31	38	1	62	367	141	64	3752 (0.97)
