bw	ftp	rftp	web	qlen	maxd	avgd	rate
--------------------------------------------------------------------
65	14	4	68	-	50	24	6894 (0.85)
12	42	3	54	-	50	20	1455 (0.97)
23	45	2	20	-	50	23	2714 (0.94)
84	59	0	70	-	50	5	9336 (0.89)
6	2	2	56	-	50	14	607 (0.81)
54	43	4	47	-	50	20	6254 (0.93)
94	44	2	15	-	50	26	11138 (0.95)
45	32	3	16	-	50	20	5119 (0.91)
7	26	0	44	-	50	16	866 (0.99)
94	16	1	5	-	50	24	10827 (0.92)
59	34	2	44	-	50	26	6916 (0.94)
48	64	4	17	-	50	29	5642 (0.94)
91	37	0	8	-	50	2	9761 (0.86)
76	34	4	53	-	50	28	8879 (0.93)
33	18	3	34	-	50	25	3785 (0.92)
52	8	0	39	-	50	4	6134 (0.94)
96	37	4	58	-	50	29	11319 (0.94)
7	55	4	35	-	50	24	855 (0.98)
73	64	2	60	-	50	21	8547 (0.94)
36	33	2	45	-	50	17	4162 (0.92)
7	39	3	55	-	50	21	854 (0.98)
32	16	1	19	-	50	27	3775 (0.94)
59	22	0	52	-	50	4	6391 (0.87)
12	47	3	7	-	50	24	1443 (0.96)
34	45	2	69	-	50	25	3967 (0.93)
35	10	2	60	-	50	25	3792 (0.87)
93	53	1	59	-	50	20	10873 (0.94)
63	60	1	40	-	50	21	7328 (0.93)
36	48	1	20	-	50	22	4208 (0.94)
61	35	2	38	-	50	27	7094 (0.93)
33	47	1	71	-	50	17	3840 (0.93)
93	17	2	77	-	50	23	10185 (0.88)
37	8	4	31	-	50	20	3437 (0.74)
46	41	2	27	-	50	26	5330 (0.93)
66	62	3	77	-	50	22	7699 (0.93)
43	63	1	15	-	50	19	5019 (0.93)
33	26	2	0	-	50	22	3787 (0.92)
99	64	2	70	-	50	23	11543 (0.93)
4	62	0	71	-	50	24	497 (0.99)
36	29	4	49	-	50	22	4119 (0.92)
87	25	2	75	-	50	25	10274 (0.94)
77	64	1	24	-	50	21	8949 (0.93)
53	52	0	24	-	50	5	5884 (0.89)
35	58	2	8	-	50	22	4115 (0.94)
19	30	3	69	-	50	24	2212 (0.93)
44	54	4	73	-	50	21	5164 (0.94)
43	22	0	80	-	50	4	4609 (0.86)
87	28	4	68	-	50	28	10230 (0.94)
28	14	3	27	-	50	28	3108 (0.89)
35	26	1	21	-	50	21	4033 (0.92)
78	32	2	13	-	50	25	9071 (0.93)
35	10	0	47	-	50	4	3923 (0.90)
49	24	3	2	-	50	25	5714 (0.93)
64	53	4	11	-	50	23	7458 (0.93)
98	39	4	63	-	50	32	11135 (0.91)
85	2	3	8	-	50	10	5806 (0.55)
82	9	2	58	-	50	17	8060 (0.79)
38	14	3	18	-	50	23	4069 (0.86)
23	8	3	73	-	50	18	2474 (0.86)
29	18	2	30	-	50	27	3341 (0.92)
94	10	3	24	-	50	19	9652 (0.82)
33	25	1	39	-	50	23	3761 (0.91)
9	58	4	49	-	50	27	1100 (0.98)
75	9	3	14	-	50	18	7011 (0.75)
61	34	4	33	-	50	25	6894 (0.90)
21	45	3	47	-	50	27	2488 (0.95)
33	8	2	45	-	50	20	3290 (0.80)
13	57	2	23	-	50	22	1583 (0.97)
32	53	3	61	-	50	23	3785 (0.95)
16	24	2	31	-	50	25	1842 (0.92)
32	57	3	31	-	50	24	3769 (0.94)
85	61	1	49	-	50	20	9858 (0.93)
7	1	0	63	-	50	10	663 (0.76)
22	50	3	10	-	50	24	2591 (0.94)
60	5	4	23	-	50	16	5378 (0.72)
90	30	1	23	-	50	26	10305 (0.92)
5	16	0	69	-	50	19	615 (0.98)
14	52	1	40	-	50	21	1710 (0.98)
37	4	1	0	-	50	15	3503 (0.76)
46	52	3	65	-	50	25	5375 (0.93)
95	56	4	40	-	50	27	10969 (0.92)
24	31	0	54	-	50	7	2810 (0.94)
1	44	4	24	-	50	28	123 (0.99)
85	56	4	7	-	50	26	9979 (0.94)
23	36	1	65	-	50	19	2685 (0.93)
59	15	4	20	-	50	22	6165 (0.84)
25	13	3	12	-	50	24	2700 (0.86)
91	37	0	24	-	50	2	9779 (0.86)
79	52	4	47	-	50	23	9124 (0.92)
66	2	4	18	-	50	9	3985 (0.48)
5	52	4	14	-	50	31	606 (0.97)
78	25	3	38	-	50	31	8906 (0.91)
78	45	0	62	-	50	4	8533 (0.88)
17	55	0	56	-	50	13	2106 (0.99)
45	18	3	36	-	50	26	5129 (0.91)
12	34	1	33	-	50	22	1439 (0.96)
32	54	4	64	-	50	25	3775 (0.94)
49	36	1	12	-	50	23	5684 (0.93)
41	52	2	79	-	50	20	4732 (0.92)
92	52	1	39	-	50	21	10857 (0.94)
86	42	2	56	-	50	21	10047 (0.93)
77	41	2	76	-	50	20	8807 (0.92)
15	43	2	53	-	50	18	1806 (0.96)
62	16	2	5	-	50	23	7003 (0.90)
98	44	4	77	-	50	23	11454 (0.94)
32	44	0	74	-	50	7	3731 (0.93)
88	29	0	58	-	50	4	9774 (0.89)
27	29	2	59	-	50	17	3082 (0.91)
64	63	0	24	-	50	5	7107 (0.89)
1	7	1	44	-	50	31	124 (1.00)
98	51	0	24	-	50	3	10709 (0.87)
95	25	1	0	-	50	25	11321 (0.95)
46	37	2	32	-	50	25	5370 (0.93)
43	53	2	63	-	50	18	5001 (0.93)
53	21	1	19	-	50	22	6097 (0.92)
28	52	4	63	-	50	23	3323 (0.95)
42	10	1	77	-	50	21	4680 (0.89)
46	64	1	65	-	50	21	5380 (0.94)
25	18	4	45	-	50	24	2853 (0.91)
94	25	4	7	-	50	27	10369 (0.88)
