bw	ftp	rftp	web	qlen	maxd	avgd	rate
--------------------------------------------------------------------
66	62	3	66	1000	180	13	6210 (0.75)
23	64	1	66	1000	500	17	2586 (0.90)
14	35	4	54	1000	698	28	1489 (0.85)
99	57	2	44	1000	121	11	9241 (0.75)
8	55	1	53	1000	827	43	951 (0.95)
11	24	1	65	1000	668	25	1178 (0.86)
65	46	1	7	1000	184	11	6471 (0.80)
21	25	0	34	1000	503	14	2362 (0.90)
10	48	2	14	1000	765	33	1129 (0.90)
31	5	0	20	1000	206	4	3051 (0.79)
26	20	2	33	1000	422	15	2494 (0.77)
87	29	3	11	1000	138	10	8156 (0.75)
97	4	3	56	1000	123	2	5862 (0.48)
58	45	4	77	1000	202	13	5395 (0.74)
12	62	0	75	1000	843	34	1455 (0.97)
67	47	0	26	1000	178	6	7850 (0.94)
45	43	4	56	1000	262	13	4326 (0.77)
16	9	3	39	1000	449	12	1432 (0.72)
69	57	2	69	1000	173	9	6709 (0.78)
77	58	0	55	1000	155	7	8975 (0.93)
87	14	4	52	1000	137	5	7348 (0.68)
91	36	3	76	1000	131	14	8360 (0.73)
11	5	0	55	1000	296	9	1055 (0.77)
88	49	2	0	1000	136	12	8075 (0.73)
67	7	2	14	1000	178	2	5300 (0.63)
19	24	3	33	1000	529	19	1934 (0.81)
99	25	3	16	1000	121	11	8910 (0.72)
85	11	1	79	1000	140	3	7359 (0.69)
17	20	2	76	1000	548	24	1684 (0.79)
40	42	3	69	1000	294	13	3726 (0.75)
56	40	4	44	1000	211	10	5157 (0.74)
13	61	4	6	1000	842	37	1449 (0.89)
17	22	2	4	1000	528	22	1694 (0.80)
86	1	1	32	1000	110	0	3200 (0.30)
23	12	2	21	1000	374	11	2077 (0.72)
63	6	0	10	1000	189	2	5952 (0.76)
51	15	0	55	1000	231	5	5470 (0.86)
45	40	0	75	1000	259	9	5140 (0.91)
6	61	2	67	1000	1051	50	722 (0.96)
44	48	1	68	1000	268	12	4509 (0.82)
91	50	1	68	1000	131	10	8669 (0.76)
22	10	0	76	1000	370	8	2171 (0.79)
22	47	4	63	1000	504	25	2388 (0.87)
4	46	3	10	1000	781	39	456 (0.91)
2	31	3	18	1000	739	38	230 (0.92)
48	29	0	45	1000	246	6	5526 (0.92)
65	37	3	51	1000	183	12	5988 (0.74)
45	38	1	21	1000	263	11	4340 (0.77)
25	24	3	21	1000	389	18	2451 (0.78)
29	18	1	33	1000	402	14	2771 (0.76)
1	27	3	7	1000	960	44	114 (0.91)
91	26	2	45	1000	131	13	8484 (0.75)
70	13	3	14	1000	171	4	5868 (0.67)
98	46	3	40	1000	122	11	9233 (0.75)
73	34	3	45	1000	163	14	6689 (0.73)
94	64	2	53	1000	127	8	9028 (0.77)
94	24	3	69	1000	127	9	8386 (0.71)
72	12	0	64	1000	165	4	7480 (0.83)
34	49	1	3	1000	348	11	3461 (0.81)
88	29	0	21	1000	136	3	10104 (0.92)
75	48	0	53	1000	159	7	8720 (0.93)
18	60	4	51	1000	624	27	2007 (0.89)
78	44	0	62	1000	152	6	9013 (0.92)
34	57	2	35	1000	343	14	3662 (0.86)
70	17	1	22	1000	171	5	6413 (0.73)
28	33	0	50	1000	416	12	3171 (0.91)
64	36	0	77	1000	185	6	7264 (0.91)
94	16	1	48	1000	127	4	8546 (0.73)
50	32	0	42	1000	237	6	5775 (0.92)
30	24	0	59	1000	380	11	3329 (0.89)
31	14	4	62	1000	353	20	2975 (0.77)
4	41	0	1	1000	766	26	493 (0.99)
81	60	0	54	1000	147	7	9426 (0.93)
49	42	1	30	1000	241	12	4810 (0.79)
16	34	2	19	1000	695	28	1740 (0.87)
36	3	4	25	1000	264	1	2039 (0.45)
69	41	2	26	1000	173	10	6277 (0.73)
72	48	4	78	1000	164	10	6731 (0.75)
10	18	3	73	1000	536	25	1048 (0.84)
91	28	0	29	1000	131	3	10429 (0.92)
81	26	1	19	1000	148	14	7657 (0.76)
73	10	4	65	1000	164	7	6049 (0.66)
90	5	2	26	1000	133	2	7059 (0.63)
83	60	4	53	1000	144	14	7622 (0.73)
16	31	4	39	1000	595	20	1676 (0.84)
82	48	3	57	1000	146	10	7650 (0.75)
42	23	1	57	1000	281	9	4140 (0.79)
26	51	0	19	1000	446	11	2992 (0.92)
77	3	4	43	1000	155	2	4488 (0.47)
29	39	1	13	1000	406	13	2855 (0.79)
33	1	0	69	1000	106	2	1404 (0.34)
49	23	3	74	1000	241	32	4738 (0.77)
1	16	0	51	1000	660	51	124 (0.99)
57	9	1	43	1000	208	4	5001 (0.70)
26	45	1	61	1000	435	14	2767 (0.85)
68	52	0	31	1000	175	7	7884 (0.93)
68	21	0	45	1000	175	3	7710 (0.91)
82	52	4	36	1000	146	15	7581 (0.74)
17	29	4	59	1000	611	23	1758 (0.83)
15	17	2	15	1000	446	18	1431 (0.76)
27	58	2	77	1000	426	15	2989 (0.89)
10	35	4	60	1000	668	31	1106 (0.88)
25	20	3	70	1000	394	19	2419 (0.77)
34	60	2	27	1000	345	16	3655 (0.86)
62	50	0	72	1000	191	8	7200 (0.93)
32	22	1	13	1000	368	12	3064 (0.77)
26	59	1	48	1000	448	15	2882 (0.89)
19	15	0	62	1000	421	12	2026 (0.85)
6	33	0	14	1000	678	21	715 (0.95)
11	28	2	11	1000	675	26	1167 (0.85)
68	28	0	27	1000	175	4	7813 (0.92)
84	26	3	26	1000	142	11	7815 (0.74)
39	46	2	33	1000	302	13	4192 (0.86)
56	28	4	50	1000	212	15	5136 (0.73)
26	14	1	64	1000	396	13	2505 (0.77)
39	25	1	72	1000	299	10	3754 (0.77)
30	34	1	26	1000	392	13	3017 (0.80)
94	41	1	46	1000	127	10	9120 (0.78)
52	7	4	64	1000	228	5	3636 (0.56)
7	51	2	44	1000	765	37	821 (0.94)
